Wall time,Step,Value
1755961785.0290785,100000,1.4181700944900513
1755961847.0745008,200000,1.4167301654815674
1755961912.6689363,300000,1.4145539999008179
1755961974.628517,400000,1.4124071598052979
1755962040.46552,500000,1.4109125137329102
1755962104.1650398,600000,1.4089618921279907
1755962166.0805504,700000,1.4069831371307373
1755962232.1420772,800000,1.4051215648651123
1755962294.8881772,900000,1.4020856618881226
1755962360.716942,1000000,1.3978077173233032
1755962424.475749,1100000,1.39226233959198
1755962492.0395863,1200000,1.3859517574310303
1755962557.5029798,1300000,1.3778852224349976
1755962623.1798825,1400000,1.3725935220718384
1755962692.0763361,1500000,1.3691763877868652
1755962758.100835,1600000,1.3674945831298828
1755962826.2598476,1700000,1.365337610244751
1755962891.5775347,1800000,1.3629039525985718
1755962959.7143176,1900000,1.3610718250274658
1755963025.0290217,2000000,1.359252691268921
1755963093.058354,2100000,1.3576292991638184
1755963158.4073606,2200000,1.355741262435913
1755963223.4226513,2300000,1.354302167892456
1755963291.608531,2400000,1.3523751497268677
1755963356.8073506,2500000,1.349807620048523
1755963424.9133277,2600000,1.3471020460128784
1755963489.8185024,2700000,1.3448286056518555
1755963557.5027113,2800000,1.3424254655838013
1755963622.1552792,2900000,1.3403702974319458
1755963689.741138,3000000,1.338492512702942
1755963754.6794164,3100000,1.336472749710083
1755963819.2127507,3200000,1.334608554840088
1755963886.5738647,3300000,1.3335107564926147
1755963951.2056973,3400000,1.3329037427902222
1755964018.4699926,3500000,1.3311234712600708
1755964083.1130426,3600000,1.3287510871887207
1755964150.50181,3700000,1.3263561725616455
1755964214.9492064,3800000,1.3237372636795044
1755964279.3131897,3900000,1.3215246200561523
1755964346.616803,4000000,1.3192983865737915
1755964411.5508935,4100000,1.31735098361969
1755964478.6389487,4200000,1.315117359161377
1755964542.9789019,4300000,1.313152551651001
1755964610.6631744,4400000,1.3124312162399292
1755964675.0061612,4500000,1.3106377124786377
1755964742.1807287,4600000,1.3082019090652466
1755964806.957618,4700000,1.3060569763183594
1755964871.1576176,4800000,1.3033533096313477
1755964938.5161784,4900000,1.301165223121643
1755965003.0531569,5000000,1.3003045320510864
1755965070.1812375,5100000,1.298940658569336
1755965134.726208,5200000,1.2972073554992676
1755965202.2238672,5300000,1.296013593673706
1755965266.5453064,5400000,1.294207215309143
1755965330.9727583,5500000,1.2929580211639404
1755965398.3168921,5600000,1.2911463975906372
1755965462.341524,5700000,1.289785385131836
1755965529.5986066,5800000,1.2887914180755615
1755965594.006564,5900000,1.2875248193740845
1755965661.0506043,6000000,1.2860996723175049
1755965725.0893686,6100000,1.2851591110229492
1755965792.0043993,6200000,1.284171462059021
1755965856.5000048,6300000,1.2821441888809204
1755965920.7470436,6400000,1.280124545097351
1755965987.8385313,6500000,1.2785011529922485
1755966052.1019638,6600000,1.2777347564697266
1755966119.3265722,6700000,1.276840090751648
1755966183.5019717,6800000,1.2754781246185303
1755966250.739569,6900000,1.2738114595413208
1755966314.781427,7000000,1.272377610206604
1755966379.0258367,7100000,1.2709951400756836
1755966446.1324542,7200000,1.2702409029006958
1755966510.295031,7300000,1.2683870792388916
1755966577.2460515,7400000,1.2658674716949463
1755966641.330942,7500000,1.2627726793289185
1755966708.5776978,7600000,1.2606465816497803
1755966772.8573525,7700000,1.2595150470733643
1755966840.2459686,7800000,1.2588865756988525
1755966904.4279447,7900000,1.2573219537734985
1755966968.573353,8000000,1.255659580230713
1755967035.7159147,8100000,1.2546964883804321
1755967099.5032609,8200000,1.2533105611801147
1755967166.3757882,8300000,1.2521979808807373
1755967230.3921714,8400000,1.251295804977417
1755967297.834313,8500000,1.2498865127563477
1755967361.849561,8600000,1.2488244771957397
1755967429.008641,8700000,1.2474150657653809
1755967493.08406,8800000,1.2452776432037354
1755967557.1902394,8900000,1.2443678379058838
1755967624.3625014,9000000,1.2439017295837402
1755967688.9038734,9100000,1.2428308725357056
1755967755.5653522,9200000,1.2412172555923462
1755967820.0033653,9300000,1.2399075031280518
1755967887.3383455,9400000,1.2386027574539185
1755967951.4577441,9500000,1.236964225769043
1755968015.259782,9600000,1.2356230020523071
1755968082.301482,9700000,1.2339102029800415
1755968146.2283142,9800000,1.2322983741760254
1755968213.1738594,9900000,1.2304834127426147
1755968277.8239589,10000000,1.2290689945220947
1755968345.0428128,10100000,1.2282276153564453
1755968408.8051136,10200000,1.22718346118927
1755968476.0847068,10300000,1.2256492376327515
1755968540.262381,10400000,1.2242567539215088
1755968604.285758,10500000,1.222517967224121
1755968671.1882973,10600000,1.2209855318069458
1755968735.256911,10700000,1.2199761867523193
1755968802.2039537,10800000,1.2190076112747192
1755968866.2693307,10900000,1.2180124521255493
1755968933.4161026,11000000,1.2169283628463745
1755968997.368335,11100000,1.2163835763931274
1755969061.2116892,11200000,1.215799331665039
1755969128.2467232,11300000,1.2147488594055176
1755969192.4116528,11400000,1.2131900787353516
1755969259.325658,11500000,1.2119539976119995
1755969323.6220908,11600000,1.2112468481063843
1755969390.3730767,11700000,1.2100495100021362
1755969454.1479044,11800000,1.2089502811431885
1755969521.4745383,11900000,1.2083799839019775
1755969585.5099132,12000000,1.207558274269104
1755969649.9233823,12100000,1.2066655158996582
1755969716.9440973,12200000,1.2054957151412964
1755969780.8344796,12300000,1.2044330835342407
1755969847.5807025,12400000,1.2030977010726929
1755969911.744953,12500000,1.2017184495925903
1755969978.7474847,12600000,1.2003865242004395
1755970042.8056028,12700000,1.198715329170227
1755970109.9606993,12800000,1.197422742843628
1755970173.9097002,12900000,1.196659803390503
1755970237.8395436,13000000,1.1962732076644897
1755970304.5760286,13100000,1.19526207447052
1755970368.8729627,13200000,1.1942352056503296
1755970435.649471,13300000,1.1935522556304932
1755970499.8568735,13400000,1.1928280591964722
1755970566.9774425,13500000,1.1915396451950073
1755970630.961108,13600000,1.1901836395263672
1755970694.6687353,13700000,1.189002513885498
1755970762.064999,13800000,1.188258409500122
1755970825.9636366,13900000,1.1872498989105225
1755970892.8710544,14000000,1.185930848121643
1755970957.1089542,14100000,1.1850707530975342
1755971024.1160102,14200000,1.1842912435531616
1755971088.2891948,14300000,1.1831238269805908
1755971155.1587813,14400000,1.1821131706237793
1755971219.2076514,14500000,1.181146502494812
1755971283.1837344,14600000,1.1806368827819824
1755971350.0427563,14700000,1.1797236204147339
1755971414.60916,14800000,1.1785038709640503
1755971481.3281443,14900000,1.1774293184280396
1755971545.186178,15000000,1.1765083074569702
1755971612.2771204,15100000,1.1756901741027832
1755971676.2512321,15200000,1.1751952171325684
