simulation,time,x,y,z,collisionApproach,modelName,droneName
2,152.118,0.000,1.011,0.000,6,,drone 0
2,152.221,0.000,1.130,0.000,6,,drone 0
2,152.325,0.000,1.318,0.000,6,,drone 0
2,152.431,0.000,1.578,0.000,6,,drone 0
2,152.536,0.000,1.902,0.000,6,,drone 0
2,152.642,0.000,2.366,0.000,6,,drone 0
2,152.746,0.000,2.806,0.000,6,,drone 0
2,152.850,0.000,3.290,0.000,6,,drone 0
2,152.954,0.000,3.811,0.000,6,,drone 0
2,153.059,0.000,4.364,0.000,6,,drone 0
2,153.163,0.000,5.064,0.000,6,,drone 0
2,153.267,0.000,5.671,0.000,6,,drone 0
2,153.372,0.000,6.297,0.000,6,,drone 0
2,153.477,0.000,6.936,0.000,6,,drone 0
2,153.581,0.000,7.718,0.000,6,,drone 0
2,153.685,0.000,8.378,0.000,6,,drone 0
2,153.790,0.000,9.042,0.000,6,,drone 0
2,153.893,0.000,9.708,0.000,6,,drone 0
2,153.997,0.000,10.374,0.000,6,,drone 0
2,154.101,0.000,11.169,0.000,6,,drone 0
2,154.205,0.000,11.827,0.000,6,,drone 0
2,154.309,0.000,12.479,0.000,6,,drone 0
2,154.413,0.000,13.123,0.000,6,,drone 0
2,154.518,0.000,13.759,0.000,6,,drone 0
2,154.622,0.000,14.507,0.000,6,,drone 0
2,154.726,0.000,15.119,0.000,6,,drone 0
2,154.830,0.000,15.719,0.000,6,,drone 0
2,154.933,0.000,16.306,0.000,6,,drone 0
2,155.037,0.000,16.879,0.000,6,,drone 0
2,155.141,0.000,17.549,0.000,6,,drone 0
2,155.246,0.000,18.091,0.000,6,,drone 0
2,155.350,0.000,18.619,0.000,6,,drone 0
2,155.454,0.000,19.132,0.000,6,,drone 0
2,155.558,0.000,19.629,0.000,6,,drone 0
2,155.661,0.000,20.206,0.000,6,,drone 0
2,155.765,0.000,20.670,0.000,6,,drone 0
2,155.869,0.000,21.118,0.000,6,,drone 0
2,155.973,0.000,21.551,0.000,6,,drone 0
2,156.077,0.000,21.970,0.000,6,,drone 0
2,156.181,0.000,22.452,0.000,6,,drone 0
2,156.285,0.000,22.837,0.000,6,,drone 0
2,156.389,0.000,23.208,0.000,6,,drone 0
2,156.494,0.000,23.565,0.000,6,,drone 0
2,156.597,0.000,23.907,0.000,6,,drone 0
2,156.702,0.000,24.300,0.000,6,,drone 0
2,156.806,0.000,24.612,0.000,6,,drone 0
2,156.911,0.000,24.912,0.000,6,,drone 0
2,157.015,0.000,25.199,0.000,6,,drone 0
2,157.119,0.000,25.473,0.000,6,,drone 0
2,157.224,0.000,25.786,0.000,6,,drone 0
2,157.328,0.000,26.034,0.000,6,,drone 0
2,157.432,0.000,26.270,0.000,6,,drone 0
2,157.537,0.000,26.496,0.000,6,,drone 0
2,157.642,0.000,26.752,0.000,6,,drone 0
2,157.746,0.000,26.955,0.000,6,,drone 0
2,157.851,0.000,27.147,0.000,6,,drone 0
2,157.957,0.000,27.330,0.000,6,,drone 0
