simulation,time,x,y,z,collisionApproach,modelName,droneName
6,464.120,0.000,1.011,0.000,4,,drone 0
6,464.223,0.000,1.130,0.000,4,,drone 0
6,464.327,0.000,1.318,0.000,4,,drone 0
6,464.430,0.000,1.578,0.000,4,,drone 0
6,464.533,0.000,1.902,0.000,4,,drone 0
6,464.636,0.000,2.283,0.000,4,,drone 0
6,464.739,0.000,2.715,0.000,4,,drone 0
6,464.843,0.000,3.290,0.000,4,,drone 0
6,464.945,0.000,3.811,0.000,4,,drone 0
6,465.049,0.000,4.364,0.000,4,,drone 0
6,465.152,0.000,4.945,0.000,4,,drone 0
6,465.255,0.000,5.548,0.000,4,,drone 0
6,465.361,0.000,6.297,0.000,4,,drone 0
6,465.464,0.000,6.936,0.000,4,,drone 0
6,465.568,0.000,7.587,0.000,4,,drone 0
6,465.670,0.000,8.245,0.000,4,,drone 0
6,465.773,0.000,8.909,0.000,4,,drone 0
6,465.875,0.000,9.575,0.000,4,,drone 0
6,465.978,0.000,10.241,0.000,4,,drone 0
6,466.080,0.000,11.037,0.000,4,,drone 0
6,466.183,0.000,11.696,0.000,4,,drone 0
6,466.286,0.000,12.349,0.000,4,,drone 0
6,466.390,0.000,12.995,0.000,4,,drone 0
6,466.493,0.000,13.632,0.000,4,,drone 0
6,466.595,0.000,14.260,0.000,4,,drone 0
6,466.698,0.000,14.876,0.000,4,,drone 0
6,466.801,0.000,15.600,0.000,4,,drone 0
6,466.901,0.000,16.190,0.000,4,,drone 0
6,467.005,0.000,16.766,0.000,4,,drone 0
6,467.108,0.000,17.328,0.000,4,,drone 0
6,467.211,0.000,17.876,0.000,4,,drone 0
6,467.315,0.000,18.410,0.000,4,,drone 0
6,467.418,0.000,18.928,0.000,4,,drone 0
6,467.520,0.000,19.531,0.000,4,,drone 0
6,467.623,0.000,20.016,0.000,4,,drone 0
6,467.726,0.000,20.486,0.000,4,,drone 0
6,467.829,0.000,20.940,0.000,4,,drone 0
6,467.931,0.000,21.380,0.000,4,,drone 0
6,468.034,0.000,21.804,0.000,4,,drone 0
6,468.136,0.000,22.213,0.000,4,,drone 0
6,468.239,0.000,22.608,0.000,4,,drone 0
6,468.343,0.000,23.061,0.000,4,,drone 0
6,468.446,0.000,23.424,0.000,4,,drone 0
6,468.548,0.000,23.772,0.000,4,,drone 0
6,468.651,0.000,24.106,0.000,4,,drone 0
6,468.754,0.000,24.427,0.000,4,,drone 0
6,468.856,0.000,24.734,0.000,4,,drone 0
6,468.959,0.000,25.028,0.000,4,,drone 0
6,469.061,0.000,25.365,0.000,4,,drone 0
6,469.164,0.000,25.631,0.000,4,,drone 0
6,469.267,0.000,25.886,0.000,4,,drone 0
6,469.370,0.000,26.130,0.000,4,,drone 0
6,469.473,0.000,26.362,0.000,4,,drone 0
6,469.576,0.000,26.583,0.000,4,,drone 0
6,469.679,0.000,26.794,0.000,4,,drone 0
6,469.782,0.000,27.033,0.000,4,,drone 0
6,469.885,0.000,27.222,0.000,4,,drone 0
6,469.987,0.000,27.401,0.000,4,,drone 0
6,470.090,0.000,27.571,0.000,4,,drone 0
6,470.193,0.000,27.733,0.000,4,,drone 0
6,470.297,0.000,27.886,0.000,4,,drone 0
6,470.400,0.000,28.031,0.000,4,,drone 0
6,470.503,2.460,28.048,0.000,4,,drone 0
6,470.606,4.431,28.068,0.000,4,,drone 0
6,470.709,6.400,28.087,0.000,4,,drone 0
6,470.812,8.370,28.107,0.000,4,,drone 0
6,470.915,10.340,28.126,0.000,4,,drone 0
6,471.020,12.704,28.149,0.000,4,,drone 0
6,471.123,14.673,28.169,0.000,4,,drone 0
6,471.227,16.643,28.188,0.000,4,,drone 0
6,471.331,18.613,28.208,0.000,4,,drone 0
6,471.434,20.583,28.227,0.000,4,,drone 0
6,471.537,22.378,28.248,0.056,4,,drone 0
6,471.640,23.759,28.273,0.243,4,,drone 0
6,471.743,24.921,28.306,0.622,4,,drone 0
6,471.846,25.513,28.337,1.053,4,,drone 0
6,471.949,25.798,28.370,1.576,4,,drone 0
6,472.052,25.803,28.405,2.180,4,,drone 0
6,472.154,25.555,28.441,2.856,4,,drone 0
6,472.258,25.080,28.479,3.596,4,,drone 0
6,472.362,24.243,28.526,4.554,4,,drone 0
6,472.465,23.347,28.566,5.403,4,,drone 0
6,472.568,22.293,28.607,6.290,4,,drone 0
6,472.670,21.099,28.648,7.209,4,,drone 0
6,472.773,19.783,28.690,8.154,4,,drone 0
6,472.876,18.359,28.731,9.119,4,,drone 0
6,472.980,16.844,28.773,10.100,4,,drone 0
6,473.083,14.924,28.823,11.291,4,,drone 0
6,473.186,13.252,28.864,12.290,4,,drone 0
6,473.290,11.529,28.905,13.292,4,,drone 0
6,473.393,9.764,28.945,14.292,4,,drone 0
6,473.496,7.967,28.985,15.289,4,,drone 0
6,473.600,6.146,29.024,16.278,4,,drone 0
