simulation,time,x,y,z,collisionApproach,modelName,droneName
2,152.141,199.809,1.159,-0.108,-1,a2c-relu-clip,drone 1
2,152.241,199.606,1.596,-0.409,-1,a2c-relu-clip,drone 1
2,152.345,199.558,2.305,-0.896,-1,a2c-relu-clip,drone 1
2,152.451,199.485,3.260,-1.498,-1,a2c-relu-clip,drone 1
2,152.557,199.373,4.133,-2.131,-1,a2c-relu-clip,drone 1
2,152.662,199.314,5.105,-2.978,-1,a2c-relu-clip,drone 1
2,152.765,199.212,5.935,-3.651,-1,a2c-relu-clip,drone 1
2,152.869,199.104,6.671,-4.300,-1,a2c-relu-clip,drone 1
2,152.975,198.959,7.549,-4.894,-1,a2c-relu-clip,drone 1
2,153.078,198.931,8.401,-5.489,-1,a2c-relu-clip,drone 1
2,153.182,198.904,9.384,-6.147,-1,a2c-relu-clip,drone 1
2,153.288,198.939,10.156,-6.723,-1,a2c-relu-clip,drone 1
2,153.392,198.869,11.079,-7.194,-1,a2c-relu-clip,drone 1
2,153.497,198.723,11.894,-7.483,-1,a2c-relu-clip,drone 1
2,153.601,198.560,12.876,-7.704,-1,a2c-relu-clip,drone 1
2,153.705,198.572,13.657,-7.852,-1,a2c-relu-clip,drone 1
2,153.809,198.551,14.449,-7.974,-1,a2c-relu-clip,drone 1
2,153.913,198.458,15.269,-8.117,-1,a2c-relu-clip,drone 1
2,154.017,198.419,16.068,-8.148,-1,a2c-relu-clip,drone 1
2,154.121,198.459,17.054,-8.028,-1,a2c-relu-clip,drone 1
2,154.225,198.521,17.755,-7.803,-1,a2c-relu-clip,drone 1
2,154.328,198.549,18.442,-7.584,-1,a2c-relu-clip,drone 1
2,154.433,198.592,19.171,-7.352,-1,a2c-relu-clip,drone 1
2,154.537,198.669,19.973,-7.071,-1,a2c-relu-clip,drone 1
2,154.642,198.802,20.842,-6.669,-1,a2c-relu-clip,drone 1
2,154.745,198.875,21.570,-6.257,-1,a2c-relu-clip,drone 1
2,154.849,198.913,22.397,-5.845,-1,a2c-relu-clip,drone 1
2,154.953,199.009,23.085,-5.375,-1,a2c-relu-clip,drone 1
2,155.058,198.972,23.833,-4.913,-1,a2c-relu-clip,drone 1
2,155.161,198.950,24.837,-4.278,-1,a2c-relu-clip,drone 1
2,155.265,199.116,25.653,-3.772,-1,a2c-relu-clip,drone 1
2,155.369,199.332,26.416,-3.283,-1,a2c-relu-clip,drone 1
2,155.473,199.477,27.162,-2.783,-1,a2c-relu-clip,drone 1
2,155.577,199.488,27.840,-2.305,-1,a2c-relu-clip,drone 1
2,155.680,199.527,28.689,-1.672,-1,a2c-relu-clip,drone 1
2,155.785,199.620,29.258,-1.049,-1,a2c-relu-clip,drone 1
2,155.889,199.441,29.529,-0.722,-1,a2c-relu-clip,drone 1
2,155.993,198.966,29.764,-0.678,-1,a2c-relu-clip,drone 1
2,156.096,198.222,29.985,-0.734,-1,a2c-relu-clip,drone 1
2,156.201,197.023,30.292,-0.755,-1,a2c-relu-clip,drone 1
2,156.304,195.832,30.460,-0.811,-1,a2c-relu-clip,drone 1
