simulation,time,x,y,z,collisionApproach,modelName,droneName
9,735.302,0.000,1.022,0.000,4,,drone 0
9,735.405,0.000,1.130,0.000,4,,drone 0
9,735.510,0.000,1.318,0.000,4,,drone 0
9,735.615,0.000,1.578,0.000,4,,drone 0
9,735.720,0.000,1.974,0.000,4,,drone 0
9,735.825,0.000,2.366,0.000,4,,drone 0
9,735.927,0.000,2.806,0.000,4,,drone 0
9,736.029,0.000,3.290,0.000,4,,drone 0
9,736.133,0.000,3.811,0.000,4,,drone 0
9,736.236,0.000,4.364,0.000,4,,drone 0
9,736.339,0.000,4.945,0.000,4,,drone 0
9,736.442,0.000,5.671,0.000,4,,drone 0
9,736.545,0.000,6.297,0.000,4,,drone 0
9,736.648,0.000,6.936,0.000,4,,drone 0
9,736.751,0.000,7.587,0.000,4,,drone 0
9,736.853,0.000,8.245,0.000,4,,drone 0
9,736.955,0.000,8.909,0.000,4,,drone 0
9,737.057,0.000,9.575,0.000,4,,drone 0
9,737.159,0.000,10.241,0.000,4,,drone 0
9,737.262,0.000,11.037,0.000,4,,drone 0
9,737.363,0.000,11.696,0.000,4,,drone 0
9,737.467,0.000,12.349,0.000,4,,drone 0
9,737.568,0.000,12.995,0.000,4,,drone 0
9,737.670,0.000,13.632,0.000,4,,drone 0
9,737.772,0.000,14.260,0.000,4,,drone 0
9,737.875,0.000,14.876,0.000,4,,drone 0
9,737.977,0.000,15.481,0.000,4,,drone 0
9,738.079,0.000,16.073,0.000,4,,drone 0
9,738.180,0.000,16.766,0.000,4,,drone 0
9,738.282,0.000,17.328,0.000,4,,drone 0
9,738.383,0.000,17.876,0.000,4,,drone 0
9,738.486,0.000,18.410,0.000,4,,drone 0
9,738.588,0.000,18.928,0.000,4,,drone 0
9,738.690,0.000,19.432,0.000,4,,drone 0
9,738.792,0.000,19.920,0.000,4,,drone 0
9,738.894,0.000,20.393,0.000,4,,drone 0
9,738.996,0.000,20.851,0.000,4,,drone 0
9,739.097,0.000,21.293,0.000,4,,drone 0
9,739.199,0.000,21.720,0.000,4,,drone 0
9,739.301,0.000,22.213,0.000,4,,drone 0
9,739.403,0.000,22.608,0.000,4,,drone 0
9,739.505,0.000,22.987,0.000,4,,drone 0
9,739.607,0.000,23.352,0.000,4,,drone 0
9,739.714,0.000,23.703,0.000,4,,drone 0
9,739.814,0.000,24.040,0.000,4,,drone 0
9,739.921,0.000,24.427,0.000,4,,drone 0
9,740.022,0.000,24.734,0.000,4,,drone 0
9,740.124,0.000,25.028,0.000,4,,drone 0
9,740.224,0.000,25.310,0.000,4,,drone 0
9,740.328,0.000,25.579,0.000,4,,drone 0
9,740.435,0.000,25.836,0.000,4,,drone 0
9,740.537,0.000,26.082,0.000,4,,drone 0
9,740.638,0.000,26.316,0.000,4,,drone 0
9,740.739,0.000,26.539,0.000,4,,drone 0
9,740.840,0.000,26.794,0.000,4,,drone 0
