simulation,time,x,y,z,collisionApproach,modelName,droneName
12,956.083,-0.039,1.039,0.001,-1,ppo-swish-clip_(v2_04),drone 0
12,956.189,-0.346,1.352,-0.008,-1,ppo-swish-clip_(v2_04),drone 0
12,956.293,-0.891,1.948,-0.126,-1,ppo-swish-clip_(v2_04),drone 0
12,956.399,-1.604,2.801,-0.339,-1,ppo-swish-clip_(v2_04),drone 0
12,956.504,-2.492,4.040,-0.762,-1,ppo-swish-clip_(v2_04),drone 0
12,956.608,-3.277,5.017,-1.063,-1,ppo-swish-clip_(v2_04),drone 0
12,956.713,-4.130,6.098,-1.282,-1,ppo-swish-clip_(v2_04),drone 0
12,956.818,-4.960,7.201,-1.612,-1,ppo-swish-clip_(v2_04),drone 0
12,956.922,-5.950,8.541,-2.060,-1,ppo-swish-clip_(v2_04),drone 0
12,957.028,-6.767,9.575,-2.436,-1,ppo-swish-clip_(v2_04),drone 0
12,957.132,-7.536,10.552,-2.801,-1,ppo-swish-clip_(v2_04),drone 0
12,957.237,-8.232,11.600,-3.134,-1,ppo-swish-clip_(v2_04),drone 0
12,957.341,-8.990,12.781,-3.482,-1,ppo-swish-clip_(v2_04),drone 0
12,957.446,-9.523,13.766,-3.745,-1,ppo-swish-clip_(v2_04),drone 0
12,957.551,-9.860,14.722,-4.064,-1,ppo-swish-clip_(v2_04),drone 0
12,957.655,-10.054,15.572,-4.317,-1,ppo-swish-clip_(v2_04),drone 0
12,957.760,-10.168,16.651,-4.471,-1,ppo-swish-clip_(v2_04),drone 0
12,957.864,-10.211,17.512,-4.495,-1,ppo-swish-clip_(v2_04),drone 0
12,957.969,-10.188,18.400,-4.426,-1,ppo-swish-clip_(v2_04),drone 0
12,958.073,-10.144,19.272,-4.323,-1,ppo-swish-clip_(v2_04),drone 0
12,958.178,-9.993,20.094,-4.205,-1,ppo-swish-clip_(v2_04),drone 0
12,958.282,-9.627,21.008,-4.055,-1,ppo-swish-clip_(v2_04),drone 0
12,958.387,-9.259,21.735,-3.861,-1,ppo-swish-clip_(v2_04),drone 0
12,958.491,-8.868,22.433,-3.623,-1,ppo-swish-clip_(v2_04),drone 0
