simulation,time,x,y,z,collisionApproach,modelName,droneName
14,1091.982,-0.039,1.039,-0.010,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.088,-0.345,1.352,-0.094,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.192,-0.883,1.948,-0.303,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.298,-1.584,2.801,-0.599,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.403,-2.491,4.052,-0.984,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.508,-3.300,5.090,-1.336,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.613,-4.107,6.273,-1.633,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.718,-4.933,7.406,-1.858,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.823,-5.881,8.532,-2.103,-1,ppo-swish-clip_(v2_04),drone 0
14,1092.928,-6.660,9.443,-2.373,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.033,-7.424,10.391,-2.560,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.139,-8.192,11.385,-2.718,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.243,-9.013,12.558,-3.026,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.348,-9.485,13.541,-3.225,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.453,-9.822,14.439,-3.383,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.557,-10.072,15.267,-3.564,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.662,-10.329,16.388,-3.683,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.764,-10.533,17.398,-3.811,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.868,-10.632,18.337,-3.884,-1,ppo-swish-clip_(v2_04),drone 0
14,1093.972,-10.585,19.197,-3.900,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.077,-10.440,19.963,-3.810,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.177,-10.246,20.717,-3.747,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.282,-10.016,21.662,-3.654,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.386,-9.777,22.402,-3.574,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.490,-9.412,23.157,-3.417,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.595,-8.961,23.763,-3.210,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.699,-8.532,24.349,-2.943,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.804,-7.965,25.127,-2.671,-1,ppo-swish-clip_(v2_04),drone 0
14,1094.908,-7.383,25.662,-2.397,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.012,-6.713,26.240,-2.144,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.116,-5.929,26.898,-1.967,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.220,-5.098,27.704,-1.714,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.324,-4.449,28.283,-1.434,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.429,-3.794,28.663,-1.103,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.533,-3.139,29.047,-0.798,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.637,-2.507,29.463,-0.553,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.742,-1.734,30.016,-0.327,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.845,-1.058,30.416,-0.161,-1,ppo-swish-clip_(v2_04),drone 0
14,1095.949,-0.201,30.889,0.077,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.054,0.887,31.410,0.388,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.158,2.184,31.889,0.789,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.262,3.989,32.406,1.378,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.366,5.679,32.924,1.970,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.470,7.519,33.383,2.616,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.575,9.497,33.773,3.306,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.679,11.597,34.224,4.002,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.783,14.229,34.833,4.784,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.887,16.507,35.300,5.499,-1,ppo-swish-clip_(v2_04),drone 0
14,1096.991,18.839,35.788,6.223,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.095,21.140,36.282,7.003,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.200,23.848,36.766,8.014,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.304,26.148,37.032,8.792,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.408,28.504,37.368,9.488,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.512,30.920,37.780,10.157,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.616,33.373,38.104,10.810,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.720,36.381,38.557,11.566,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.824,38.854,39.071,12.203,-1,ppo-swish-clip_(v2_04),drone 0
14,1097.928,41.250,39.571,12.758,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.033,43.573,39.940,13.265,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.137,45.893,40.232,13.797,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.241,48.708,40.627,14.460,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.345,50.933,40.974,14.985,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.450,53.098,41.358,15.533,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.554,55.254,41.708,16.205,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.658,57.392,42.068,16.870,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.764,59.968,42.424,17.554,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.869,62.089,42.699,18.031,-1,ppo-swish-clip_(v2_04),drone 0
14,1098.973,64.157,43.034,18.499,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.078,66.223,43.356,18.934,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.182,68.696,43.752,19.372,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.287,70.654,44.174,19.692,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.391,72.664,44.499,20.087,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.496,74.602,44.704,20.519,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.601,76.877,45.002,20.942,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.705,78.771,45.393,21.236,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.810,80.690,45.713,21.479,-1,ppo-swish-clip_(v2_04),drone 0
14,1099.914,82.651,45.998,21.726,-1,ppo-swish-clip_(v2_04),drone 0
14,1100.018,84.529,46.263,21.952,-1,ppo-swish-clip_(v2_04),drone 0
14,1100.123,86.747,46.647,22.227,-1,ppo-swish-clip_(v2_04),drone 0
