simulation,time,x,y,z,collisionApproach,modelName,droneName
13,1008.060,199.987,1.013,-0.003,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.165,199.738,1.265,-0.068,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.271,199.250,1.807,-0.243,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.376,198.526,2.611,-0.552,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.481,197.515,3.854,-1.066,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.587,196.597,4.904,-1.633,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.692,195.679,5.998,-2.156,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.797,194.720,7.137,-2.687,-1,ppo-swish-clip_(v2_04),drone 1
13,1008.903,193.559,8.552,-3.336,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.007,192.589,9.746,-3.811,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.112,191.684,10.867,-4.152,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.218,190.895,12.029,-4.415,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.323,190.059,13.275,-4.575,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.428,189.438,14.136,-4.615,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.532,188.958,15.032,-4.589,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.637,188.637,15.915,-4.518,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.743,188.370,16.935,-4.394,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.848,188.351,17.636,-4.229,-1,ppo-swish-clip_(v2_04),drone 1
13,1009.953,188.535,18.358,-4.026,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.058,188.896,19.191,-3.884,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.163,189.419,20.103,-3.886,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.268,189.916,20.901,-3.853,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.372,190.426,21.722,-3.816,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.477,190.902,22.545,-3.730,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.582,191.583,23.498,-3.513,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.688,192.145,24.052,-3.257,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.793,192.631,24.582,-2.901,-1,ppo-swish-clip_(v2_04),drone 1
13,1010.897,193.090,25.235,-2.548,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.004,193.707,26.058,-2.131,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.107,194.245,26.716,-1.787,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.212,194.747,27.342,-1.533,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.316,195.235,27.967,-1.268,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.422,195.892,28.675,-0.892,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.526,196.513,29.190,-0.640,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.631,197.175,29.601,-0.426,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.737,197.821,29.961,-0.237,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.842,198.618,30.317,-0.010,-1,ppo-swish-clip_(v2_04),drone 1
13,1011.946,199.068,30.547,0.199,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.052,199.160,30.950,0.526,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.156,198.929,31.429,1.011,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.261,198.270,31.857,1.649,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.366,197.435,32.263,2.112,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.471,196.366,32.717,2.673,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.575,195.085,33.045,3.302,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.680,193.299,33.398,4.105,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.785,191.623,33.734,4.755,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.890,189.794,34.048,5.348,-1,ppo-swish-clip_(v2_04),drone 1
13,1012.995,187.827,34.459,5.959,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.100,185.303,34.910,6.659,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.204,183.077,35.283,7.245,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.309,180.751,35.708,7.749,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.414,178.334,36.149,8.161,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.519,175.836,36.540,8.588,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.624,172.742,36.909,9.101,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.729,170.091,37.189,9.523,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.833,167.380,37.551,9.979,-1,ppo-swish-clip_(v2_04),drone 1
13,1013.938,164.616,37.919,10.400,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.043,161.236,38.256,10.795,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.147,158.372,38.562,11.143,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.253,155.470,38.876,11.505,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.357,152.532,39.120,11.821,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.463,148.965,39.378,12.150,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.568,145.962,39.575,12.324,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.673,142.934,39.771,12.407,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.779,139.882,40.074,12.570,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.884,136.193,40.475,12.824,-1,ppo-swish-clip_(v2_04),drone 1
13,1014.989,133.099,40.814,12.952,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.095,129.988,41.048,12.985,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.200,126.236,41.244,12.943,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.305,123.094,41.420,12.883,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.410,119.940,41.646,12.785,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.516,116.775,41.817,12.606,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.620,112.964,41.770,12.386,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.727,109.779,41.753,12.177,-1,ppo-swish-clip_(v2_04),drone 1
13,1015.832,106.587,41.837,12.097,-1,ppo-swish-clip_(v2_04),drone 1
