simulation,time,x,y,z,collisionApproach,modelName,droneName
3,236.783,-0.037,1.039,-0.016,-1,ppo-swish-clip_(v2_04),drone 0
3,236.885,-0.296,1.352,-0.135,-1,ppo-swish-clip_(v2_04),drone 0
3,236.987,-0.580,1.948,-0.307,-1,ppo-swish-clip_(v2_04),drone 0
3,237.089,-1.101,2.790,-0.552,-1,ppo-swish-clip_(v2_04),drone 0
3,237.192,-1.805,3.789,-0.759,-1,ppo-swish-clip_(v2_04),drone 0
3,237.294,-2.563,4.907,-1.013,-1,ppo-swish-clip_(v2_04),drone 0
3,237.395,-3.343,6.093,-1.354,-1,ppo-swish-clip_(v2_04),drone 0
3,237.499,-4.145,7.378,-1.724,-1,ppo-swish-clip_(v2_04),drone 0
3,237.601,-5.102,8.759,-2.276,-1,ppo-swish-clip_(v2_04),drone 0
3,237.704,-5.826,9.827,-2.695,-1,ppo-swish-clip_(v2_04),drone 0
3,237.808,-6.567,10.858,-3.077,-1,ppo-swish-clip_(v2_04),drone 0
3,237.912,-7.343,11.956,-3.386,-1,ppo-swish-clip_(v2_04),drone 0
3,238.016,-8.099,13.072,-3.679,-1,ppo-swish-clip_(v2_04),drone 0
3,238.119,-8.709,14.196,-3.991,-1,ppo-swish-clip_(v2_04),drone 0
3,238.225,-9.161,15.369,-4.284,-1,ppo-swish-clip_(v2_04),drone 0
3,238.328,-9.300,16.379,-4.407,-1,ppo-swish-clip_(v2_04),drone 0
3,238.432,-9.363,17.317,-4.442,-1,ppo-swish-clip_(v2_04),drone 0
3,238.535,-9.352,18.306,-4.415,-1,ppo-swish-clip_(v2_04),drone 0
3,238.638,-9.280,19.346,-4.369,-1,ppo-swish-clip_(v2_04),drone 0
3,238.742,-9.151,20.436,-4.203,-1,ppo-swish-clip_(v2_04),drone 0
3,238.845,-8.979,21.259,-4.003,-1,ppo-swish-clip_(v2_04),drone 0
3,238.948,-8.730,22.015,-3.743,-1,ppo-swish-clip_(v2_04),drone 0
3,239.051,-8.440,22.749,-3.443,-1,ppo-swish-clip_(v2_04),drone 0
3,239.155,-8.138,23.478,-3.156,-1,ppo-swish-clip_(v2_04),drone 0
3,239.256,-7.786,24.223,-2.901,-1,ppo-swish-clip_(v2_04),drone 0
3,239.356,-7.355,24.905,-2.678,-1,ppo-swish-clip_(v2_04),drone 0
3,239.457,-6.974,25.567,-2.491,-1,ppo-swish-clip_(v2_04),drone 0
3,239.557,-6.649,26.321,-2.314,-1,ppo-swish-clip_(v2_04),drone 0
3,239.658,-6.313,27.011,-2.115,-1,ppo-swish-clip_(v2_04),drone 0
