simulation,time,x,y,z,collisionApproach,modelName,droneName
11,887.419,0.000,1.011,0.000,4,,drone 0
11,887.526,0.000,1.130,0.000,4,,drone 0
11,887.630,0.000,1.318,0.000,4,,drone 0
11,887.734,0.000,1.578,0.000,4,,drone 0
11,887.839,0.000,1.902,0.000,4,,drone 0
11,887.944,0.000,2.366,0.000,4,,drone 0
11,888.047,0.000,2.806,0.000,4,,drone 0
11,888.152,0.000,3.290,0.000,4,,drone 0
11,888.258,0.000,3.811,0.000,4,,drone 0
11,888.361,0.000,4.479,0.000,4,,drone 0
11,888.464,0.000,5.064,0.000,4,,drone 0
11,888.570,0.000,5.671,0.000,4,,drone 0
11,888.674,0.000,6.297,0.000,4,,drone 0
11,888.778,0.000,6.936,0.000,4,,drone 0
11,888.883,0.000,7.718,0.000,4,,drone 0
11,888.987,0.000,8.378,0.000,4,,drone 0
11,889.091,0.000,9.042,0.000,4,,drone 0
11,889.195,0.000,9.708,0.000,4,,drone 0
11,889.299,0.000,10.374,0.000,4,,drone 0
11,889.403,0.000,11.169,0.000,4,,drone 0
11,889.508,0.000,11.827,0.000,4,,drone 0
11,889.612,0.000,12.479,0.000,4,,drone 0
11,889.716,0.000,13.123,0.000,4,,drone 0
11,889.820,0.000,13.884,0.000,4,,drone 0
11,889.925,0.000,14.507,0.000,4,,drone 0
11,890.028,0.000,15.119,0.000,4,,drone 0
11,890.133,0.000,15.719,0.000,4,,drone 0
11,890.236,0.000,16.306,0.000,4,,drone 0
11,890.342,0.000,16.992,0.000,4,,drone 0
11,890.445,0.000,17.549,0.000,4,,drone 0
11,890.548,0.000,18.091,0.000,4,,drone 0
11,890.653,0.000,18.619,0.000,4,,drone 0
11,890.756,0.000,19.132,0.000,4,,drone 0
11,890.861,0.000,19.727,0.000,4,,drone 0
11,890.965,0.000,20.206,0.000,4,,drone 0
11,891.069,0.000,20.670,0.000,4,,drone 0
11,891.173,0.000,21.118,0.000,4,,drone 0
11,891.278,0.000,21.551,0.000,4,,drone 0
11,891.382,0.000,22.051,0.000,4,,drone 0
11,891.486,0.000,22.452,0.000,4,,drone 0
11,891.591,0.000,22.837,0.000,4,,drone 0
11,891.694,0.000,23.208,0.000,4,,drone 0
11,891.799,0.000,23.565,0.000,4,,drone 0
11,891.903,0.000,23.974,0.000,4,,drone 0
11,892.007,0.000,24.300,0.000,4,,drone 0
11,892.111,0.000,24.612,0.000,4,,drone 0
11,892.215,0.000,24.912,0.000,4,,drone 0
11,892.319,0.000,25.199,0.000,4,,drone 0
11,892.423,0.000,25.526,0.000,4,,drone 0
11,892.527,0.000,25.786,0.000,4,,drone 0
11,892.630,0.000,26.034,0.000,4,,drone 0
11,892.735,0.000,26.270,0.000,4,,drone 0
11,892.838,0.000,26.496,0.000,4,,drone 0
11,892.943,0.000,26.752,0.000,4,,drone 0
11,893.047,0.000,26.955,0.000,4,,drone 0
11,893.151,0.000,27.147,0.000,4,,drone 0
11,893.256,0.000,27.330,0.000,4,,drone 0
11,893.360,0.000,27.538,0.000,4,,drone 0
11,893.464,0.000,27.701,0.000,4,,drone 0
11,893.569,0.000,27.856,0.000,4,,drone 0
11,893.674,0.000,28.003,0.000,4,,drone 0
11,893.778,1.669,28.041,0.000,4,,drone 0
11,893.883,4.037,28.064,0.000,4,,drone 0
11,893.986,6.006,28.083,0.000,4,,drone 0
11,894.091,7.976,28.103,0.000,4,,drone 0
