simulation,time,x,y,z,collisionApproach,modelName,droneName
8,645.299,199.961,1.029,0.013,-1,ppo-swish-clip_(v2_04),drone 1
8,645.400,199.551,1.352,0.072,-1,ppo-swish-clip_(v2_04),drone 1
8,645.502,198.933,1.928,-0.079,-1,ppo-swish-clip_(v2_04),drone 1
8,645.603,198.173,2.764,-0.332,-1,ppo-swish-clip_(v2_04),drone 1
8,645.706,197.279,3.794,-0.603,-1,ppo-swish-clip_(v2_04),drone 1
8,645.808,196.334,4.905,-0.909,-1,ppo-swish-clip_(v2_04),drone 1
8,645.909,195.354,6.084,-1.227,-1,ppo-swish-clip_(v2_04),drone 1
8,646.010,194.428,7.201,-1.600,-1,ppo-swish-clip_(v2_04),drone 1
8,646.113,193.517,8.256,-1.979,-1,ppo-swish-clip_(v2_04),drone 1
8,646.215,192.661,9.323,-2.364,-1,ppo-swish-clip_(v2_04),drone 1
8,646.317,191.923,10.376,-2.693,-1,ppo-swish-clip_(v2_04),drone 1
8,646.421,191.210,11.625,-2.950,-1,ppo-swish-clip_(v2_04),drone 1
8,646.524,190.733,12.682,-3.155,-1,ppo-swish-clip_(v2_04),drone 1
8,646.626,190.394,13.654,-3.395,-1,ppo-swish-clip_(v2_04),drone 1
8,646.730,190.149,14.623,-3.549,-1,ppo-swish-clip_(v2_04),drone 1
8,646.830,189.932,15.567,-3.665,-1,ppo-swish-clip_(v2_04),drone 1
8,646.933,189.775,16.618,-3.784,-1,ppo-swish-clip_(v2_04),drone 1
8,647.035,189.742,17.664,-3.852,-1,ppo-swish-clip_(v2_04),drone 1
8,647.136,189.835,18.576,-3.881,-1,ppo-swish-clip_(v2_04),drone 1
8,647.237,189.997,19.358,-3.873,-1,ppo-swish-clip_(v2_04),drone 1
8,647.339,190.181,20.102,-3.760,-1,ppo-swish-clip_(v2_04),drone 1
8,647.441,190.400,20.970,-3.508,-1,ppo-swish-clip_(v2_04),drone 1
8,647.543,190.608,21.665,-3.244,-1,ppo-swish-clip_(v2_04),drone 1
8,647.645,190.952,22.381,-2.945,-1,ppo-swish-clip_(v2_04),drone 1
8,647.747,191.408,23.042,-2.634,-1,ppo-swish-clip_(v2_04),drone 1
8,647.848,191.887,23.702,-2.313,-1,ppo-swish-clip_(v2_04),drone 1
8,647.949,192.425,24.478,-2.065,-1,ppo-swish-clip_(v2_04),drone 1
8,648.052,193.042,25.281,-1.843,-1,ppo-swish-clip_(v2_04),drone 1
8,648.152,193.748,25.972,-1.588,-1,ppo-swish-clip_(v2_04),drone 1
8,648.254,194.409,26.663,-1.351,-1,ppo-swish-clip_(v2_04),drone 1
8,648.356,195.022,27.354,-1.102,-1,ppo-swish-clip_(v2_04),drone 1
8,648.457,195.676,27.889,-0.843,-1,ppo-swish-clip_(v2_04),drone 1
8,648.558,196.300,28.485,-0.568,-1,ppo-swish-clip_(v2_04),drone 1
8,648.661,196.998,29.198,-0.324,-1,ppo-swish-clip_(v2_04),drone 1
8,648.764,197.637,29.727,-0.150,-1,ppo-swish-clip_(v2_04),drone 1
8,648.864,198.330,30.091,0.021,-1,ppo-swish-clip_(v2_04),drone 1
8,648.967,199.006,30.233,0.125,-1,ppo-swish-clip_(v2_04),drone 1
8,649.068,199.388,30.298,0.404,-1,ppo-swish-clip_(v2_04),drone 1
