simulation,time,x,y,z,collisionApproach,modelName,droneName
10,812.581,-0.039,1.039,-0.015,-1,ppo-swish-clip_(v2_04),drone 0
10,812.687,-0.336,1.352,-0.137,-1,ppo-swish-clip_(v2_04),drone 0
10,812.791,-0.806,1.948,-0.357,-1,ppo-swish-clip_(v2_04),drone 0
10,812.897,-1.414,2.795,-0.671,-1,ppo-swish-clip_(v2_04),drone 0
10,813.001,-2.304,4.056,-1.087,-1,ppo-swish-clip_(v2_04),drone 0
10,813.107,-3.155,5.222,-1.506,-1,ppo-swish-clip_(v2_04),drone 0
10,813.211,-4.043,6.338,-1.995,-1,ppo-swish-clip_(v2_04),drone 0
10,813.316,-4.850,7.490,-2.378,-1,ppo-swish-clip_(v2_04),drone 0
10,813.421,-5.792,8.816,-2.717,-1,ppo-swish-clip_(v2_04),drone 0
10,813.526,-6.600,9.858,-2.962,-1,ppo-swish-clip_(v2_04),drone 0
10,813.630,-7.373,10.950,-3.205,-1,ppo-swish-clip_(v2_04),drone 0
10,813.735,-8.033,12.082,-3.546,-1,ppo-swish-clip_(v2_04),drone 0
10,813.840,-8.662,13.300,-3.967,-1,ppo-swish-clip_(v2_04),drone 0
10,813.944,-9.103,14.186,-4.220,-1,ppo-swish-clip_(v2_04),drone 0
10,814.049,-9.524,15.106,-4.371,-1,ppo-swish-clip_(v2_04),drone 0
10,814.154,-9.947,15.917,-4.478,-1,ppo-swish-clip_(v2_04),drone 0
10,814.259,-10.234,16.641,-4.583,-1,ppo-swish-clip_(v2_04),drone 0
10,814.363,-10.454,17.706,-4.686,-1,ppo-swish-clip_(v2_04),drone 0
10,814.467,-10.519,18.698,-4.677,-1,ppo-swish-clip_(v2_04),drone 0
10,814.572,-10.421,19.558,-4.490,-1,ppo-swish-clip_(v2_04),drone 0
10,814.676,-10.255,20.362,-4.309,-1,ppo-swish-clip_(v2_04),drone 0
10,814.781,-9.987,21.323,-4.140,-1,ppo-swish-clip_(v2_04),drone 0
10,814.885,-9.683,22.230,-3.959,-1,ppo-swish-clip_(v2_04),drone 0
10,814.989,-9.281,22.975,-3.711,-1,ppo-swish-clip_(v2_04),drone 0
10,815.094,-8.810,23.642,-3.459,-1,ppo-swish-clip_(v2_04),drone 0
10,815.198,-8.355,24.246,-3.227,-1,ppo-swish-clip_(v2_04),drone 0
10,815.304,-7.815,25.066,-3.004,-1,ppo-swish-clip_(v2_04),drone 0
10,815.407,-7.368,25.793,-2.746,-1,ppo-swish-clip_(v2_04),drone 0
10,815.512,-6.847,26.345,-2.444,-1,ppo-swish-clip_(v2_04),drone 0
10,815.616,-6.260,26.955,-2.181,-1,ppo-swish-clip_(v2_04),drone 0
10,815.721,-5.611,27.613,-1.813,-1,ppo-swish-clip_(v2_04),drone 0
10,815.825,-4.964,28.105,-1.487,-1,ppo-swish-clip_(v2_04),drone 0
10,815.929,-4.247,28.606,-1.216,-1,ppo-swish-clip_(v2_04),drone 0
10,816.033,-3.516,29.118,-0.924,-1,ppo-swish-clip_(v2_04),drone 0
10,816.138,-2.756,29.603,-0.615,-1,ppo-swish-clip_(v2_04),drone 0
10,816.242,-1.901,30.029,-0.344,-1,ppo-swish-clip_(v2_04),drone 0
10,816.346,-1.208,30.239,-0.145,-1,ppo-swish-clip_(v2_04),drone 0
10,816.450,-0.365,30.565,0.156,-1,ppo-swish-clip_(v2_04),drone 0
10,816.556,0.710,31.079,0.548,-1,ppo-swish-clip_(v2_04),drone 0
10,816.660,2.277,31.610,1.044,-1,ppo-swish-clip_(v2_04),drone 0
10,816.765,3.789,32.027,1.561,-1,ppo-swish-clip_(v2_04),drone 0
10,816.869,5.470,32.407,2.162,-1,ppo-swish-clip_(v2_04),drone 0
10,816.974,7.303,32.798,2.758,-1,ppo-swish-clip_(v2_04),drone 0
10,817.078,9.270,33.252,3.414,-1,ppo-swish-clip_(v2_04),drone 0
10,817.182,11.705,33.760,4.262,-1,ppo-swish-clip_(v2_04),drone 0
10,817.286,13.842,34.142,4.971,-1,ppo-swish-clip_(v2_04),drone 0
10,817.390,16.066,34.529,5.648,-1,ppo-swish-clip_(v2_04),drone 0
10,817.495,18.346,34.828,6.333,-1,ppo-swish-clip_(v2_04),drone 0
10,817.599,20.585,35.245,7.059,-1,ppo-swish-clip_(v2_04),drone 0
10,817.703,23.279,35.674,7.738,-1,ppo-swish-clip_(v2_04),drone 0
10,817.808,25.479,35.994,8.309,-1,ppo-swish-clip_(v2_04),drone 0
10,817.912,27.700,36.365,8.866,-1,ppo-swish-clip_(v2_04),drone 0
10,818.017,29.963,36.729,9.386,-1,ppo-swish-clip_(v2_04),drone 0
10,818.122,32.618,37.150,9.985,-1,ppo-swish-clip_(v2_04),drone 0
10,818.226,34.828,37.527,10.562,-1,ppo-swish-clip_(v2_04),drone 0
10,818.330,37.048,37.962,11.190,-1,ppo-swish-clip_(v2_04),drone 0
10,818.435,39.310,38.411,11.823,-1,ppo-swish-clip_(v2_04),drone 0
10,818.539,41.635,38.802,12.416,-1,ppo-swish-clip_(v2_04),drone 0
10,818.644,44.420,39.253,13.088,-1,ppo-swish-clip_(v2_04),drone 0
10,818.749,46.714,39.647,13.675,-1,ppo-swish-clip_(v2_04),drone 0
10,818.856,48.922,40.095,14.301,-1,ppo-swish-clip_(v2_04),drone 0
10,818.958,51.094,40.455,14.874,-1,ppo-swish-clip_(v2_04),drone 0
10,819.063,53.665,40.822,15.546,-1,ppo-swish-clip_(v2_04),drone 0
10,819.168,55.813,41.199,16.081,-1,ppo-swish-clip_(v2_04),drone 0
10,819.272,57.948,41.573,16.594,-1,ppo-swish-clip_(v2_04),drone 0
10,819.377,60.004,41.947,17.088,-1,ppo-swish-clip_(v2_04),drone 0
10,819.482,62.385,42.369,17.712,-1,ppo-swish-clip_(v2_04),drone 0
10,819.587,64.358,42.666,18.183,-1,ppo-swish-clip_(v2_04),drone 0
10,819.692,66.335,42.963,18.537,-1,ppo-swish-clip_(v2_04),drone 0
10,819.796,68.290,43.227,18.967,-1,ppo-swish-clip_(v2_04),drone 0
10,819.901,70.558,43.663,19.476,-1,ppo-swish-clip_(v2_04),drone 0
10,820.006,72.381,44.011,19.786,-1,ppo-swish-clip_(v2_04),drone 0
10,820.112,74.266,44.250,20.046,-1,ppo-swish-clip_(v2_04),drone 0
10,820.217,76.171,44.469,20.295,-1,ppo-swish-clip_(v2_04),drone 0
10,820.323,78.419,44.848,20.556,-1,ppo-swish-clip_(v2_04),drone 0
10,820.427,80.257,45.177,20.820,-1,ppo-swish-clip_(v2_04),drone 0
10,820.532,82.108,45.494,21.150,-1,ppo-swish-clip_(v2_04),drone 0
10,820.637,83.941,45.800,21.486,-1,ppo-swish-clip_(v2_04),drone 0
10,820.742,86.015,45.907,21.826,-1,ppo-swish-clip_(v2_04),drone 0
10,820.847,87.735,45.995,22.039,-1,ppo-swish-clip_(v2_04),drone 0
10,820.952,89.469,46.182,22.193,-1,ppo-swish-clip_(v2_04),drone 0
10,821.057,91.198,46.350,22.358,-1,ppo-swish-clip_(v2_04),drone 0
10,821.162,93.288,46.490,22.591,-1,ppo-swish-clip_(v2_04),drone 0
10,821.267,95.086,46.660,22.772,-1,ppo-swish-clip_(v2_04),drone 0
10,821.373,96.880,46.850,22.925,-1,ppo-swish-clip_(v2_04),drone 0
10,821.477,98.644,47.046,23.041,-1,ppo-swish-clip_(v2_04),drone 0
10,821.583,100.722,47.260,23.192,-1,ppo-swish-clip_(v2_04),drone 0
10,821.687,102.424,47.444,23.310,-1,ppo-swish-clip_(v2_04),drone 0
10,821.792,104.063,47.660,23.377,-1,ppo-swish-clip_(v2_04),drone 0
