simulation,time,x,y,z,collisionApproach,modelName,droneName
0,0.151,199.809,1.075,-0.119,4,,drone 1
0,0.256,199.514,1.265,-0.303,4,,drone 1
0,0.359,199.249,1.527,-0.468,4,,drone 1
0,0.465,198.968,1.925,-0.644,4,,drone 1
0,0.567,198.761,2.319,-0.773,4,,drone 1
0,0.670,198.579,2.761,-0.886,4,,drone 1
0,0.771,198.418,3.247,-0.987,4,,drone 1
0,0.872,198.278,3.770,-1.074,4,,drone 1
0,0.973,198.157,4.325,-1.150,4,,drone 1
0,1.073,198.053,4.907,-1.215,4,,drone 1
0,1.178,197.965,5.512,-1.269,4,,drone 1
0,1.287,197.879,6.262,-1.323,4,,drone 1
0,1.391,197.822,6.903,-1.358,4,,drone 1
0,1.493,197.778,7.555,-1.386,4,,drone 1
0,1.597,197.744,8.215,-1.407,4,,drone 1
0,1.705,197.718,9.013,-1.423,4,,drone 1
0,1.805,197.706,9.681,-1.431,4,,drone 1
0,1.911,197.703,10.348,-1.433,4,,drone 1
0,2.013,197.707,11.012,-1.431,4,,drone 1
0,2.114,197.717,11.673,-1.424,4,,drone 1
0,2.221,197.738,12.457,-1.411,4,,drone 1
0,2.325,197.762,13.102,-1.396,4,,drone 1
0,2.429,197.790,13.739,-1.378,4,,drone 1
0,2.536,197.823,14.365,-1.358,4,,drone 1
0,2.640,197.859,14.980,-1.336,4,,drone 1
0,2.744,197.906,15.702,-1.306,4,,drone 1
0,2.849,197.949,16.290,-1.279,4,,drone 1
0,2.954,197.994,16.864,-1.251,4,,drone 1
0,3.054,198.041,17.425,-1.222,4,,drone 1
0,3.159,198.090,17.971,-1.191,4,,drone 1
0,3.265,198.150,18.607,-1.154,4,,drone 1
0,3.372,198.201,19.120,-1.122,4,,drone 1
0,3.474,198.253,19.618,-1.090,4,,drone 1
0,3.579,198.306,20.101,-1.057,4,,drone 1
0,3.685,198.369,20.660,-1.018,4,,drone 1
0,3.790,198.422,21.109,-0.985,4,,drone 1
0,3.894,198.474,21.543,-0.952,4,,drone 1
0,3.996,198.527,21.962,-0.919,4,,drone 1
0,4.100,198.589,22.444,-0.880,4,,drone 1
0,4.204,198.640,22.830,-0.848,4,,drone 1
0,4.309,198.691,23.202,-0.817,4,,drone 1
0,4.411,198.741,23.559,-0.785,4,,drone 1
0,4.513,198.790,23.902,-0.755,4,,drone 1
0,4.615,198.838,24.231,-0.725,4,,drone 1
0,4.717,198.885,24.546,-0.695,4,,drone 1
0,4.818,198.931,24.849,-0.667,4,,drone 1
0,4.919,198.976,25.138,-0.639,4,,drone 1
0,5.021,199.029,25.469,-0.606,4,,drone 1
0,5.123,199.072,25.731,-0.579,4,,drone 1
0,5.225,199.113,25.982,-0.553,4,,drone 1
0,5.326,199.153,26.221,-0.528,4,,drone 1
0,5.427,199.192,26.449,-0.504,4,,drone 1
0,5.529,199.230,26.666,-0.480,4,,drone 1
0,5.629,199.266,26.873,-0.458,4,,drone 1
0,5.731,199.302,27.069,-0.436,4,,drone 1
0,5.833,199.336,27.256,-0.414,4,,drone 1
0,5.934,199.369,27.434,-0.394,4,,drone 1
0,6.036,199.401,27.603,-0.374,4,,drone 1
0,6.137,199.431,27.763,-0.355,4,,drone 1
0,6.240,199.466,27.944,-0.333,4,,drone 1
0,6.341,199.494,28.086,-0.315,4,,drone 1
0,6.443,198.217,28.145,-0.308,4,,drone 1
0,6.545,196.255,28.164,-0.304,4,,drone 1
0,6.647,194.286,28.182,-0.301,4,,drone 1
0,6.748,192.316,28.201,-0.298,4,,drone 1
0,6.850,190.346,28.219,-0.295,4,,drone 1
0,6.951,188.376,28.238,-0.292,4,,drone 1
0,7.053,186.406,28.256,-0.289,4,,drone 1
0,7.156,184.437,28.275,-0.286,4,,drone 1
0,7.257,182.467,28.293,-0.283,4,,drone 1
0,7.359,180.497,28.311,-0.280,4,,drone 1
0,7.461,178.134,28.334,-0.276,4,,drone 1
0,7.562,176.164,28.352,-0.273,4,,drone 1
0,7.663,174.194,28.370,-0.270,4,,drone 1
0,7.765,172.224,28.389,-0.267,4,,drone 1
0,7.867,170.254,28.407,-0.264,4,,drone 1
0,7.969,168.285,28.426,-0.261,4,,drone 1
0,8.071,166.315,28.444,-0.258,4,,drone 1
0,8.171,164.345,28.463,-0.255,4,,drone 1
0,8.274,162.375,28.481,-0.252,4,,drone 1
0,8.376,160.406,28.499,-0.249,4,,drone 1
0,8.477,158.436,28.518,-0.246,4,,drone 1
0,8.581,156.072,28.540,-0.242,4,,drone 1
0,8.683,154.102,28.558,-0.239,4,,drone 1
0,8.783,152.133,28.577,-0.236,4,,drone 1
0,8.886,150.163,28.595,-0.233,4,,drone 1
0,8.988,148.205,28.614,-0.232,4,,drone 1
0,9.090,146.456,28.634,-0.268,4,,drone 1
0,9.192,144.967,28.657,-0.349,4,,drone 1
0,9.294,143.716,28.682,-0.471,4,,drone 1
0,9.397,142.684,28.708,-0.628,4,,drone 1
0,9.499,141.854,28.737,-0.818,4,,drone 1
0,9.602,141.101,28.772,-1.083,4,,drone 1
0,9.703,140.657,28.802,-1.331,4,,drone 1
0,9.805,140.365,28.834,-1.600,4,,drone 1
0,9.908,140.211,28.866,-1.887,4,,drone 1
0,10.011,140.182,28.898,-2.191,4,,drone 1
0,10.113,140.266,28.931,-2.507,4,,drone 1
0,10.215,140.452,28.964,-2.834,4,,drone 1
0,10.316,140.730,28.997,-3.171,4,,drone 1
0,10.418,141.090,29.031,-3.514,4,,drone 1
0,10.520,141.523,29.064,-3.863,4,,drone 1
0,10.621,142.127,29.103,-4.285,4,,drone 1
0,10.724,142.692,29.135,-4.640,4,,drone 1
0,10.826,143.305,29.167,-4.995,4,,drone 1
0,10.927,143.960,29.199,-5.350,4,,drone 1
0,11.030,144.650,29.230,-5.703,4,,drone 1
0,11.133,145.371,29.260,-6.054,4,,drone 1
0,11.237,146.116,29.290,-6.401,4,,drone 1
0,11.339,146.882,29.319,-6.744,4,,drone 1
0,11.440,147.821,29.353,-7.149,4,,drone 1
0,11.543,148.617,29.381,-7.480,4,,drone 1
0,11.645,149.419,29.408,-7.806,4,,drone 1
0,11.747,150.227,29.434,-8.124,4,,drone 1
0,11.850,151.035,29.459,-8.436,4,,drone 1
0,11.959,151.842,29.484,-8.741,4,,drone 1
0,12.065,152.806,29.513,-9.097,4,,drone 1
0,12.165,153.602,29.536,-9.385,4,,drone 1
0,12.265,154.390,29.558,-9.665,4,,drone 1
0,12.366,155.168,29.580,-9.938,4,,drone 1
0,12.467,155.935,29.601,-10.202,4,,drone 1
0,12.574,156.689,29.621,-10.458,4,,drone 1
0,12.681,157.576,29.644,-10.754,4,,drone 1
0,12.781,158.298,29.662,-10.992,4,,drone 1
