simulation,time,x,y,z,collisionApproach,modelName,droneName
10,812.597,200.000,1.011,0.000,4,,drone 1
10,812.699,200.000,1.102,0.000,4,,drone 1
10,812.804,200.000,1.318,0.000,4,,drone 1
10,812.909,200.000,1.578,0.000,4,,drone 1
10,813.014,200.000,1.902,0.000,4,,drone 1
10,813.120,200.000,2.366,0.000,4,,drone 1
10,813.224,200.000,2.806,0.000,4,,drone 1
10,813.329,200.000,3.290,0.000,4,,drone 1
10,813.435,200.000,3.811,0.000,4,,drone 1
10,813.539,200.000,4.364,0.000,4,,drone 1
10,813.643,200.000,5.064,0.000,4,,drone 1
10,813.748,200.000,5.671,0.000,4,,drone 1
10,813.854,200.000,6.297,0.000,4,,drone 1
10,813.958,200.000,6.936,0.000,4,,drone 1
10,814.063,200.000,7.718,0.000,4,,drone 1
10,814.167,200.000,8.378,0.000,4,,drone 1
10,814.271,200.000,9.042,0.000,4,,drone 1
10,814.376,200.000,9.708,0.000,4,,drone 1
10,814.480,200.000,10.506,0.000,4,,drone 1
10,814.585,200.000,11.169,0.000,4,,drone 1
10,814.690,200.000,11.827,0.000,4,,drone 1
10,814.794,200.000,12.479,0.000,4,,drone 1
10,814.898,200.000,13.123,0.000,4,,drone 1
10,815.002,200.000,13.884,0.000,4,,drone 1
10,815.107,200.000,14.507,0.000,4,,drone 1
10,815.211,200.000,15.119,0.000,4,,drone 1
10,815.316,200.000,15.719,0.000,4,,drone 1
10,815.421,200.000,16.422,0.000,4,,drone 1
10,815.525,200.000,16.992,0.000,4,,drone 1
10,815.630,200.000,17.549,0.000,4,,drone 1
10,815.734,200.000,18.091,0.000,4,,drone 1
10,815.838,200.000,18.619,0.000,4,,drone 1
10,815.942,200.000,19.232,0.000,4,,drone 1
10,816.046,200.000,19.727,0.000,4,,drone 1
10,816.151,200.000,20.206,0.000,4,,drone 1
10,816.255,200.000,20.670,0.000,4,,drone 1
10,816.359,200.000,21.118,0.000,4,,drone 1
10,816.464,200.000,21.636,0.000,4,,drone 1
10,816.569,200.000,22.051,0.000,4,,drone 1
10,816.673,200.000,22.452,0.000,4,,drone 1
10,816.778,200.000,22.837,0.000,4,,drone 1
10,816.882,200.000,23.280,0.000,4,,drone 1
10,816.988,200.000,23.634,0.000,4,,drone 1
10,817.091,200.000,23.974,0.000,4,,drone 1
10,817.195,200.000,24.300,0.000,4,,drone 1
10,817.299,200.000,24.612,0.000,4,,drone 1
10,817.403,200.000,24.970,0.000,4,,drone 1
10,817.508,200.000,25.254,0.000,4,,drone 1
10,817.613,200.000,25.526,0.000,4,,drone 1
10,817.717,200.000,25.786,0.000,4,,drone 1
10,817.821,200.000,26.082,0.000,4,,drone 1
10,817.925,200.000,26.316,0.000,4,,drone 1
10,818.030,200.000,26.539,0.000,4,,drone 1
10,818.134,200.000,26.752,0.000,4,,drone 1
10,818.239,200.000,26.955,0.000,4,,drone 1
10,818.343,200.000,27.185,0.000,4,,drone 1
10,818.448,200.000,27.366,0.000,4,,drone 1
10,818.553,200.000,27.538,0.000,4,,drone 1
10,818.657,200.000,27.701,0.000,4,,drone 1
10,818.762,200.000,27.886,0.000,4,,drone 1
10,818.867,200.000,28.031,0.000,4,,drone 1
10,818.972,197.932,28.044,0.000,4,,drone 1
10,819.076,195.963,28.064,0.000,4,,drone 1
10,819.181,193.600,28.087,0.000,4,,drone 1
10,819.286,191.630,28.107,0.000,4,,drone 1
10,819.390,189.660,28.126,0.000,4,,drone 1
10,819.495,187.690,28.146,0.000,4,,drone 1
10,819.600,185.327,28.169,0.000,4,,drone 1
10,819.706,183.357,28.188,0.000,4,,drone 1
10,819.810,181.387,28.208,0.000,4,,drone 1
10,819.915,179.417,28.227,0.000,4,,drone 1
10,820.019,177.448,28.247,0.000,4,,drone 1
10,820.125,175.084,28.270,0.000,4,,drone 1
10,820.230,173.114,28.290,0.000,4,,drone 1
10,820.334,171.144,28.309,0.000,4,,drone 1
10,820.439,169.175,28.329,0.000,4,,drone 1
10,820.545,166.811,28.352,0.000,4,,drone 1
10,820.651,164.841,28.371,0.000,4,,drone 1
10,820.756,162.871,28.391,0.000,4,,drone 1
10,820.860,160.508,28.414,0.000,4,,drone 1
10,820.965,158.538,28.434,0.000,4,,drone 1
10,821.070,156.568,28.453,0.000,4,,drone 1
10,821.175,154.599,28.473,0.000,4,,drone 1
10,821.281,152.235,28.496,0.000,4,,drone 1
10,821.385,150.265,28.515,0.000,4,,drone 1
10,821.491,148.295,28.535,0.000,4,,drone 1
10,821.595,146.326,28.554,0.000,4,,drone 1
10,821.700,143.962,28.578,0.000,4,,drone 1
10,821.805,141.992,28.597,0.000,4,,drone 1
10,821.910,140.022,28.617,0.000,4,,drone 1
10,822.015,138.053,28.636,0.000,4,,drone 1
10,822.120,135.689,28.659,0.000,4,,drone 1
10,822.225,133.719,28.679,0.000,4,,drone 1
10,822.330,131.749,28.698,0.000,4,,drone 1
10,822.434,129.780,28.718,0.000,4,,drone 1
10,822.539,127.810,28.737,0.000,4,,drone 1
10,822.644,125.446,28.761,0.000,4,,drone 1
