simulation,time,x,y,z,collisionApproach,modelName,droneName
5,395.520,199.872,1.094,-0.064,-1,a2c-relu-clip,drone 1
5,395.622,199.592,1.444,-0.338,-1,a2c-relu-clip,drone 1
5,395.725,199.363,2.074,-0.816,-1,a2c-relu-clip,drone 1
5,395.827,199.205,2.937,-1.396,-1,a2c-relu-clip,drone 1
5,395.929,199.161,3.861,-2.061,-1,a2c-relu-clip,drone 1
5,396.031,199.138,4.776,-2.741,-1,a2c-relu-clip,drone 1
5,396.134,199.087,5.730,-3.430,-1,a2c-relu-clip,drone 1
5,396.236,198.991,6.589,-4.116,-1,a2c-relu-clip,drone 1
5,396.338,198.838,7.397,-4.771,-1,a2c-relu-clip,drone 1
5,396.441,198.639,8.415,-5.502,-1,a2c-relu-clip,drone 1
5,396.543,198.596,9.260,-6.111,-1,a2c-relu-clip,drone 1
5,396.647,198.532,10.150,-6.629,-1,a2c-relu-clip,drone 1
5,396.750,198.440,11.002,-7.007,-1,a2c-relu-clip,drone 1
5,396.852,198.470,11.824,-7.286,-1,a2c-relu-clip,drone 1
5,396.954,198.496,12.689,-7.478,-1,a2c-relu-clip,drone 1
5,397.055,198.585,13.476,-7.567,-1,a2c-relu-clip,drone 1
5,397.158,198.659,14.298,-7.591,-1,a2c-relu-clip,drone 1
5,397.260,198.630,15.209,-7.609,-1,a2c-relu-clip,drone 1
5,397.362,198.658,15.987,-7.611,-1,a2c-relu-clip,drone 1
5,397.464,198.788,16.820,-7.567,-1,a2c-relu-clip,drone 1
5,397.567,198.896,17.708,-7.443,-1,a2c-relu-clip,drone 1
5,397.670,198.977,18.488,-7.362,-1,a2c-relu-clip,drone 1
5,397.772,199.033,19.269,-7.295,-1,a2c-relu-clip,drone 1
5,397.874,199.178,19.950,-7.169,-1,a2c-relu-clip,drone 1
5,397.976,199.194,20.657,-7.000,-1,a2c-relu-clip,drone 1
5,398.077,199.156,21.368,-6.718,-1,a2c-relu-clip,drone 1
5,398.179,199.039,21.995,-6.411,-1,a2c-relu-clip,drone 1
5,398.281,198.985,22.884,-5.974,-1,a2c-relu-clip,drone 1
5,398.382,198.992,23.586,-5.497,-1,a2c-relu-clip,drone 1
5,398.484,199.123,24.298,-4.903,-1,a2c-relu-clip,drone 1
5,398.586,199.284,25.034,-4.233,-1,a2c-relu-clip,drone 1
5,398.688,199.334,25.723,-3.622,-1,a2c-relu-clip,drone 1
5,398.789,199.448,26.460,-3.115,-1,a2c-relu-clip,drone 1
5,398.891,199.486,27.219,-2.681,-1,a2c-relu-clip,drone 1
5,398.993,199.588,28.018,-2.213,-1,a2c-relu-clip,drone 1
5,399.094,199.689,28.692,-1.670,-1,a2c-relu-clip,drone 1
5,399.196,199.712,29.327,-1.035,-1,a2c-relu-clip,drone 1
5,399.298,199.452,29.727,-0.584,-1,a2c-relu-clip,drone 1
5,399.399,198.903,29.938,-0.284,-1,a2c-relu-clip,drone 1
5,399.501,197.911,30.281,-0.107,-1,a2c-relu-clip,drone 1
5,399.604,196.877,30.478,-0.114,-1,a2c-relu-clip,drone 1
5,399.706,195.739,30.636,-0.208,-1,a2c-relu-clip,drone 1
5,399.807,194.585,30.874,-0.386,-1,a2c-relu-clip,drone 1
5,399.909,193.295,31.154,-0.503,-1,a2c-relu-clip,drone 1
5,400.011,192.041,31.357,-0.606,-1,a2c-relu-clip,drone 1
5,400.112,190.924,31.435,-0.661,-1,a2c-relu-clip,drone 1
5,400.214,189.695,31.604,-0.756,-1,a2c-relu-clip,drone 1
5,400.315,188.516,31.791,-0.915,-1,a2c-relu-clip,drone 1
5,400.417,187.293,31.959,-1.157,-1,a2c-relu-clip,drone 1
5,400.519,185.975,32.183,-1.447,-1,a2c-relu-clip,drone 1
5,400.622,184.346,32.422,-1.940,-1,a2c-relu-clip,drone 1
5,400.723,183.024,32.595,-2.442,-1,a2c-relu-clip,drone 1
5,400.825,181.777,32.709,-2.918,-1,a2c-relu-clip,drone 1
5,400.927,180.446,32.864,-3.277,-1,a2c-relu-clip,drone 1
5,401.028,179.193,32.893,-3.527,-1,a2c-relu-clip,drone 1
5,401.130,178.041,33.029,-3.725,-1,a2c-relu-clip,drone 1
5,401.232,176.780,33.210,-3.969,-1,a2c-relu-clip,drone 1
5,401.336,175.512,33.285,-4.245,-1,a2c-relu-clip,drone 1
5,401.439,174.277,33.441,-4.460,-1,a2c-relu-clip,drone 1
5,401.541,172.708,33.666,-4.699,-1,a2c-relu-clip,drone 1
5,401.644,171.485,33.765,-4.790,-1,a2c-relu-clip,drone 1
5,401.746,170.268,33.824,-4.866,-1,a2c-relu-clip,drone 1
5,401.848,169.038,33.895,-4.982,-1,a2c-relu-clip,drone 1
5,401.950,167.834,34.056,-5.098,-1,a2c-relu-clip,drone 1
5,402.051,166.684,34.261,-5.192,-1,a2c-relu-clip,drone 1
5,402.153,165.567,34.421,-5.412,-1,a2c-relu-clip,drone 1
5,402.255,164.372,34.480,-5.669,-1,a2c-relu-clip,drone 1
5,402.357,163.032,34.591,-5.907,-1,a2c-relu-clip,drone 1
5,402.458,161.684,34.804,-6.083,-1,a2c-relu-clip,drone 1
5,402.561,160.190,34.927,-6.292,-1,a2c-relu-clip,drone 1
5,402.663,158.913,35.134,-6.427,-1,a2c-relu-clip,drone 1
5,402.766,157.604,35.271,-6.548,-1,a2c-relu-clip,drone 1
5,402.867,156.282,35.401,-6.646,-1,a2c-relu-clip,drone 1
5,402.968,155.056,35.497,-6.698,-1,a2c-relu-clip,drone 1
5,403.070,153.768,35.714,-6.761,-1,a2c-relu-clip,drone 1
5,403.171,152.636,35.858,-6.849,-1,a2c-relu-clip,drone 1
5,403.273,151.456,36.005,-6.978,-1,a2c-relu-clip,drone 1
5,403.375,150.220,36.104,-7.131,-1,a2c-relu-clip,drone 1
