simulation,time,x,y,z,collisionApproach,modelName,droneName
8,645.280,0.000,1.022,0.000,6,,drone 0
8,645.388,0.000,1.130,0.000,6,,drone 0
8,645.489,0.000,1.318,0.000,6,,drone 0
8,645.591,0.000,1.578,0.000,6,,drone 0
8,645.692,0.000,1.902,0.000,6,,drone 0
8,645.796,0.000,2.283,0.000,6,,drone 0
8,645.897,0.000,2.715,0.000,6,,drone 0
8,645.998,0.000,3.190,0.000,6,,drone 0
8,646.101,0.000,3.811,0.000,6,,drone 0
8,646.203,0.000,4.364,0.000,6,,drone 0
8,646.304,0.000,4.945,0.000,6,,drone 0
8,646.408,0.000,5.548,0.000,6,,drone 0
8,646.508,0.000,6.170,0.000,6,,drone 0
8,646.608,0.000,6.807,0.000,6,,drone 0
8,646.711,0.000,7.456,0.000,6,,drone 0
8,646.812,0.000,8.113,0.000,6,,drone 0
8,646.914,0.000,8.776,0.000,6,,drone 0
8,647.015,0.000,9.441,0.000,6,,drone 0
8,647.117,0.000,10.107,0.000,6,,drone 0
8,647.219,0.000,10.772,0.000,6,,drone 0
8,647.321,0.000,11.565,0.000,6,,drone 0
8,647.422,0.000,12.219,0.000,6,,drone 0
8,647.523,0.000,12.867,0.000,6,,drone 0
8,647.626,0.000,13.506,0.000,6,,drone 0
8,647.728,0.000,14.135,0.000,6,,drone 0
8,647.830,0.000,14.754,0.000,6,,drone 0
8,647.931,0.000,15.361,0.000,6,,drone 0
8,648.032,0.000,15.955,0.000,6,,drone 0
8,648.133,0.000,16.537,0.000,6,,drone 0
8,648.236,0.000,17.105,0.000,6,,drone 0
8,648.336,0.000,17.659,0.000,6,,drone 0
8,648.439,0.000,18.198,0.000,6,,drone 0
8,648.540,0.000,18.826,0.000,6,,drone 0
8,648.640,0.000,19.332,0.000,6,,drone 0
8,648.743,0.000,19.824,0.000,6,,drone 0
8,648.846,0.000,20.300,0.000,6,,drone 0
8,648.948,0.000,20.760,0.000,6,,drone 0
8,649.048,0.000,21.206,0.000,6,,drone 0
8,649.151,0.000,21.636,0.000,6,,drone 0
8,649.252,0.000,22.051,0.000,6,,drone 0
8,649.354,0.000,22.452,0.000,6,,drone 0
8,649.454,0.000,22.837,0.000,6,,drone 0
8,649.557,0.000,23.208,0.000,6,,drone 0
8,649.658,0.000,23.565,0.000,6,,drone 0
8,649.761,0.000,23.974,0.000,6,,drone 0
8,649.862,0.000,24.300,0.000,6,,drone 0
8,649.963,0.000,24.612,0.000,6,,drone 0
8,650.065,0.000,24.912,0.000,6,,drone 0
8,650.166,0.000,25.199,0.000,6,,drone 0
8,650.267,0.000,25.473,0.000,6,,drone 0
8,650.375,0.000,25.735,0.000,6,,drone 0
8,650.479,0.000,25.985,0.000,6,,drone 0
8,650.580,0.000,26.270,0.000,6,,drone 0
8,650.682,0.000,26.496,0.000,6,,drone 0
8,650.783,0.000,26.711,0.000,6,,drone 0
8,650.885,0.000,26.915,0.000,6,,drone 0
8,650.986,0.000,27.110,0.000,6,,drone 0
8,651.087,0.000,27.295,0.000,6,,drone 0
8,651.188,0.000,27.470,0.000,6,,drone 0
8,651.290,0.000,27.637,0.000,6,,drone 0
8,651.391,0.000,27.795,0.000,6,,drone 0
8,651.491,0.000,27.945,0.000,6,,drone 0
8,651.593,0.866,28.034,0.000,6,,drone 0
8,651.695,2.855,28.052,0.000,6,,drone 0
8,651.797,4.825,28.072,0.000,6,,drone 0
8,651.898,6.794,28.091,0.000,6,,drone 0
8,652.000,9.158,28.114,0.000,6,,drone 0
8,652.101,11.128,28.134,0.000,6,,drone 0
8,652.203,13.098,28.153,0.000,6,,drone 0
8,652.303,15.067,28.173,0.000,6,,drone 0
8,652.406,17.037,28.192,0.000,6,,drone 0
8,652.506,19.007,28.212,0.000,6,,drone 0
8,652.607,20.959,28.231,0.006,6,,drone 0
8,652.713,22.584,28.254,0.115,6,,drone 0
8,652.818,23.811,28.280,0.351,6,,drone 0
8,652.918,24.673,28.308,0.699,6,,drone 0
8,653.018,25.203,28.339,1.149,6,,drone 0
8,653.119,25.431,28.373,1.688,6,,drone 0
8,653.219,25.385,28.408,2.306,6,,drone 0
8,653.319,25.092,28.445,2.995,6,,drone 0
8,653.419,24.576,28.483,3.744,6,,drone 0
8,653.521,23.696,28.531,4.713,6,,drone 0
8,653.621,22.770,28.571,5.569,6,,drone 0
8,653.722,21.689,28.612,6.461,6,,drone 0
8,653.822,20.472,28.653,7.384,6,,drone 0
8,653.928,19.135,28.695,8.332,6,,drone 0
8,654.028,17.695,28.737,9.300,6,,drone 0
8,654.129,16.166,28.778,10.281,6,,drone 0
8,654.234,14.561,28.820,11.273,6,,drone 0
8,654.341,12.552,28.869,12.471,6,,drone 0
8,654.447,10.822,28.910,13.471,6,,drone 0
8,654.547,9.053,28.950,14.469,6,,drone 0
8,654.653,7.253,28.990,15.462,6,,drone 0
8,654.754,5.431,29.029,16.448,6,,drone 0
8,654.855,3.595,29.067,17.425,6,,drone 0
8,654.955,1.753,29.105,18.389,6,,drone 0
8,655.055,-0.090,29.142,19.340,6,,drone 0
8,655.155,-1.928,29.178,20.275,6,,drone 0
8,655.255,-3.755,29.213,21.193,6,,drone 0
8,655.356,-5.567,29.247,22.094,6,,drone 0
8,655.456,-7.359,29.280,22.975,6,,drone 0
8,655.556,-9.128,29.312,23.835,6,,drone 0
8,655.656,-10.870,29.344,24.675,6,,drone 0
8,655.757,-12.583,29.374,25.494,6,,drone 0
8,655.858,-14.264,29.404,26.290,6,,drone 0
8,655.958,-15.910,29.432,27.064,6,,drone 0
8,656.058,-17.521,29.460,27.815,6,,drone 0
8,656.158,-19.093,29.486,28.544,6,,drone 0
8,656.264,-20.929,29.517,29.387,6,,drone 0
8,656.364,-22.414,29.541,30.065,6,,drone 0
8,656.464,-23.859,29.565,30.720,6,,drone 0
8,656.565,-25.261,29.588,31.352,6,,drone 0
8,656.665,-26.622,29.610,31.962,6,,drone 0
8,656.766,-27.940,29.630,32.549,6,,drone 0
8,656.866,-29.216,29.651,33.115,6,,drone 0
8,656.967,-30.450,29.670,33.659,6,,drone 0
8,657.067,-31.642,29.688,34.181,6,,drone 0
8,657.167,-32.792,29.706,34.683,6,,drone 0
8,657.267,-33.900,29.723,35.164,6,,drone 0
8,657.368,-34.968,29.739,35.625,6,,drone 0
8,657.468,-35.995,29.754,36.067,6,,drone 0
8,657.568,-36.983,29.769,36.490,6,,drone 0
8,657.669,-37.932,29.783,36.894,6,,drone 0
8,657.770,-38.842,29.796,37.280,6,,drone 0
8,657.871,-39.715,29.809,37.649,6,,drone 0
8,657.971,-40.552,29.821,38.000,6,,drone 0
8,658.077,-41.353,29.833,38.336,6,,drone 0
8,658.177,-42.119,29.843,38.655,6,,drone 0
8,658.279,-42.852,29.854,38.959,6,,drone 0
8,658.380,-43.551,29.864,39.248,6,,drone 0
8,658.484,-44.349,29.875,39.576,6,,drone 0
8,658.584,-44.980,29.883,39.834,6,,drone 0
8,658.685,-45.581,29.892,40.079,6,,drone 0
8,658.786,-46.153,29.899,40.312,6,,drone 0
8,658.886,-46.698,29.907,40.532,6,,drone 0
8,658.992,-47.215,29.914,40.740,6,,drone 0
8,659.092,-47.707,29.920,40.937,6,,drone 0
8,659.192,-48.174,29.926,41.123,6,,drone 0
8,659.293,-48.616,29.932,41.299,6,,drone 0
8,659.399,-49.036,29.938,41.465,6,,drone 0
8,659.499,-49.434,29.943,41.622,6,,drone 0
8,659.605,-49.882,29.949,41.798,6,,drone 0
8,659.705,-50.234,29.953,41.935,6,,drone 0
8,659.806,-50.567,29.957,42.064,6,,drone 0
8,659.907,-50.880,29.961,42.185,6,,drone 0
8,660.007,-51.176,29.965,42.299,6,,drone 0
8,660.114,-51.455,29.968,42.406,6,,drone 0
8,660.215,-51.718,29.971,42.506,6,,drone 0
8,660.320,-52.012,29.975,42.617,6,,drone 0
8,660.423,-52.242,29.978,42.704,6,,drone 0
8,660.527,-52.457,29.980,42.784,6,,drone 0
8,660.631,-52.659,29.983,42.860,6,,drone 0
8,660.735,-52.849,29.985,42.930,6,,drone 0
8,660.838,-52.096,29.986,42.822,6,,drone 0
8,660.942,-49.745,29.986,42.422,6,,drone 0
8,661.045,-47.803,29.986,42.092,6,,drone 0
8,661.148,-45.861,29.986,41.762,6,,drone 0
8,661.250,-43.919,29.986,41.432,6,,drone 0
8,661.354,-41.977,29.986,41.103,6,,drone 0
8,661.457,-40.035,29.987,40.773,6,,drone 0
8,661.560,-37.705,29.987,40.377,6,,drone 0
8,661.663,-35.763,29.987,40.047,6,,drone 0
8,661.767,-33.821,29.987,39.717,6,,drone 0
8,661.870,-31.879,29.987,39.387,6,,drone 0
8,661.973,-29.937,29.987,39.057,6,,drone 0
8,662.076,-27.994,29.987,38.727,6,,drone 0
8,662.180,-25.664,29.987,38.332,6,,drone 0
8,662.282,-23.722,29.987,38.002,6,,drone 0
8,662.384,-21.780,29.988,37.672,6,,drone 0
8,662.487,-19.838,29.988,37.342,6,,drone 0
8,662.592,-17.896,29.988,37.012,6,,drone 0
8,662.695,-15.954,29.988,36.682,6,,drone 0
8,662.799,-14.012,29.988,36.352,6,,drone 0
8,662.901,-11.681,29.988,35.956,6,,drone 0
8,663.004,-9.739,29.988,35.627,6,,drone 0
8,663.107,-7.797,29.988,35.297,6,,drone 0
8,663.209,-5.855,29.988,34.967,6,,drone 0
8,663.314,-3.913,29.988,34.637,6,,drone 0
8,663.418,-1.971,29.989,34.307,6,,drone 0
8,663.522,0.359,29.989,33.911,6,,drone 0
8,663.626,2.301,29.989,33.581,6,,drone 0
8,663.731,4.243,29.989,33.252,6,,drone 0
8,663.836,6.185,29.989,32.922,6,,drone 0
8,663.940,8.516,29.989,32.526,6,,drone 0
8,664.044,10.458,29.989,32.196,6,,drone 0
8,664.149,12.400,29.989,31.866,6,,drone 0
8,664.252,14.342,29.990,31.536,6,,drone 0
8,664.356,16.284,29.990,31.206,6,,drone 0
8,664.461,18.614,29.990,30.810,6,,drone 0
8,664.565,20.556,29.990,30.481,6,,drone 0
8,664.669,22.498,29.990,30.151,6,,drone 0
8,664.774,24.440,29.990,29.821,6,,drone 0
8,664.878,26.382,29.990,29.491,6,,drone 0
8,664.983,28.713,29.990,29.095,6,,drone 0
8,665.087,30.655,29.990,28.765,6,,drone 0
8,665.192,32.597,29.991,28.435,6,,drone 0
8,665.296,34.539,29.991,28.105,6,,drone 0
8,665.400,36.481,29.991,27.776,6,,drone 0
8,665.504,38.811,29.991,27.380,6,,drone 0
8,665.608,40.753,29.991,27.050,6,,drone 0
8,665.713,42.695,29.991,26.720,6,,drone 0
8,665.817,44.637,29.991,26.390,6,,drone 0
8,665.921,46.968,29.991,25.994,6,,drone 0
8,666.025,48.910,29.991,25.664,6,,drone 0
8,666.132,50.852,29.992,25.334,6,,drone 0
8,666.234,52.794,29.992,25.005,6,,drone 0
8,666.338,54.736,29.992,24.675,6,,drone 0
8,666.442,57.066,29.992,24.279,6,,drone 0
8,666.547,59.008,29.992,23.949,6,,drone 0
8,666.651,60.950,29.992,23.619,6,,drone 0
8,666.756,62.892,29.992,23.289,6,,drone 0
8,666.861,65.223,29.992,22.893,6,,drone 0
8,666.965,67.165,29.993,22.564,6,,drone 0
8,667.069,69.107,29.993,22.234,6,,drone 0
8,667.173,71.049,29.993,21.904,6,,drone 0
8,667.277,72.991,29.993,21.574,6,,drone 0
8,667.382,75.321,29.993,21.178,6,,drone 0
8,667.485,77.263,29.993,20.848,6,,drone 0
8,667.589,79.205,29.993,20.518,6,,drone 0
8,667.693,81.148,29.993,20.188,6,,drone 0
8,667.802,83.478,29.993,19.793,6,,drone 0
8,667.903,85.420,29.994,19.463,6,,drone 0
8,668.006,87.362,29.994,19.133,6,,drone 0
8,668.109,89.304,29.994,18.803,6,,drone 0
8,668.211,91.246,29.994,18.473,6,,drone 0
8,668.319,93.188,29.994,18.143,6,,drone 0
8,668.423,95.518,29.994,17.747,6,,drone 0
8,668.525,97.461,29.994,17.417,6,,drone 0
8,668.626,99.403,29.994,17.088,6,,drone 0
8,668.726,101.345,29.994,16.758,6,,drone 0
8,668.834,103.336,29.995,16.419,6,,drone 0
8,668.937,105.439,29.995,16.062,6,,drone 0
8,669.043,108.086,29.995,15.613,6,,drone 0
8,669.143,110.377,29.995,15.223,6,,drone 0
8,669.251,112.728,29.995,14.824,6,,drone 0
8,669.354,115.128,29.995,14.416,6,,drone 0
8,669.460,117.563,29.995,14.003,6,,drone 0
8,669.560,120.517,29.996,13.501,6,,drone 0
8,669.666,122.993,29.996,13.080,6,,drone 0
8,669.768,125.474,29.996,12.659,6,,drone 0
