simulation,time,x,y,z,collisionApproach,modelName,droneName
11,887.443,199.809,1.117,-0.069,-1,a2c-relu-clip,drone 1
11,887.546,199.643,1.489,-0.352,-1,a2c-relu-clip,drone 1
11,887.649,199.642,2.139,-0.862,-1,a2c-relu-clip,drone 1
11,887.754,199.579,3.004,-1.456,-1,a2c-relu-clip,drone 1
11,887.859,199.406,3.830,-2.099,-1,a2c-relu-clip,drone 1
11,887.963,199.147,4.918,-2.836,-1,a2c-relu-clip,drone 1
11,888.067,198.926,5.697,-3.461,-1,a2c-relu-clip,drone 1
11,888.171,198.869,6.573,-4.187,-1,a2c-relu-clip,drone 1
11,888.276,198.829,7.407,-4.834,-1,a2c-relu-clip,drone 1
11,888.380,198.731,8.436,-5.570,-1,a2c-relu-clip,drone 1
11,888.484,198.649,9.312,-6.101,-1,a2c-relu-clip,drone 1
11,888.589,198.579,10.103,-6.524,-1,a2c-relu-clip,drone 1
11,888.694,198.506,10.897,-6.848,-1,a2c-relu-clip,drone 1
11,888.797,198.582,11.748,-7.083,-1,a2c-relu-clip,drone 1
11,888.902,198.558,12.750,-7.240,-1,a2c-relu-clip,drone 1
11,889.006,198.563,13.670,-7.257,-1,a2c-relu-clip,drone 1
11,889.110,198.587,14.598,-7.181,-1,a2c-relu-clip,drone 1
11,889.215,198.733,15.489,-7.113,-1,a2c-relu-clip,drone 1
11,889.319,198.769,16.357,-7.104,-1,a2c-relu-clip,drone 1
11,889.422,198.784,17.368,-7.027,-1,a2c-relu-clip,drone 1
11,889.527,198.775,18.225,-6.858,-1,a2c-relu-clip,drone 1
11,889.631,198.698,19.053,-6.669,-1,a2c-relu-clip,drone 1
11,889.735,198.574,19.808,-6.498,-1,a2c-relu-clip,drone 1
11,889.839,198.533,20.646,-6.296,-1,a2c-relu-clip,drone 1
11,889.944,198.632,21.568,-5.974,-1,a2c-relu-clip,drone 1
11,890.047,198.672,22.234,-5.671,-1,a2c-relu-clip,drone 1
11,890.151,198.726,22.936,-5.407,-1,a2c-relu-clip,drone 1
11,890.256,198.729,23.750,-5.040,-1,a2c-relu-clip,drone 1
11,890.360,198.750,24.548,-4.416,-1,a2c-relu-clip,drone 1
11,890.464,198.912,25.184,-4.011,-1,a2c-relu-clip,drone 1
11,890.567,199.078,25.915,-3.719,-1,a2c-relu-clip,drone 1
11,890.672,199.214,26.676,-3.271,-1,a2c-relu-clip,drone 1
11,890.776,199.307,27.476,-2.705,-1,a2c-relu-clip,drone 1
11,890.880,199.435,28.313,-2.041,-1,a2c-relu-clip,drone 1
11,890.985,199.472,28.962,-1.362,-1,a2c-relu-clip,drone 1
11,891.089,199.596,29.562,-0.759,-1,a2c-relu-clip,drone 1
11,891.193,199.453,29.975,-0.490,-1,a2c-relu-clip,drone 1
