simulation,time,x,y,z,collisionApproach,modelName,droneName
7,552.760,-0.004,1.013,-0.010,-1,a2c-relu-clip,drone 0
7,552.862,-0.073,1.265,-0.201,-1,a2c-relu-clip,drone 0
7,552.967,-0.223,1.807,-0.594,-1,a2c-relu-clip,drone 0
7,553.072,-0.418,2.604,-1.169,-1,a2c-relu-clip,drone 0
7,553.176,-0.601,3.503,-1.814,-1,a2c-relu-clip,drone 0
7,553.279,-0.737,4.368,-2.496,-1,a2c-relu-clip,drone 0
7,553.381,-0.872,5.373,-3.412,-1,a2c-relu-clip,drone 0
7,553.483,-1.043,6.168,-4.191,-1,a2c-relu-clip,drone 0
7,553.585,-1.168,7.112,-4.960,-1,a2c-relu-clip,drone 0
7,553.686,-1.190,7.957,-5.634,-1,a2c-relu-clip,drone 0
7,553.788,-1.157,8.830,-6.261,-1,a2c-relu-clip,drone 0
7,553.890,-1.149,9.592,-6.782,-1,a2c-relu-clip,drone 0
7,553.993,-1.255,10.473,-7.197,-1,a2c-relu-clip,drone 0
7,554.096,-1.323,11.379,-7.473,-1,a2c-relu-clip,drone 0
7,554.200,-1.470,12.187,-7.709,-1,a2c-relu-clip,drone 0
7,554.301,-1.659,13.239,-7.947,-1,a2c-relu-clip,drone 0
7,554.403,-1.719,14.071,-8.045,-1,a2c-relu-clip,drone 0
7,554.504,-1.717,14.848,-8.029,-1,a2c-relu-clip,drone 0
7,554.606,-1.721,15.618,-8.003,-1,a2c-relu-clip,drone 0
7,554.708,-1.695,16.523,-7.981,-1,a2c-relu-clip,drone 0
7,554.810,-1.667,17.340,-7.907,-1,a2c-relu-clip,drone 0
7,554.912,-1.624,18.130,-7.728,-1,a2c-relu-clip,drone 0
7,555.015,-1.570,18.836,-7.455,-1,a2c-relu-clip,drone 0
7,555.117,-1.543,19.576,-7.161,-1,a2c-relu-clip,drone 0
7,555.219,-1.591,20.319,-6.794,-1,a2c-relu-clip,drone 0
7,555.321,-1.493,21.232,-6.337,-1,a2c-relu-clip,drone 0
7,555.423,-1.445,21.946,-5.949,-1,a2c-relu-clip,drone 0
7,555.525,-1.401,22.734,-5.612,-1,a2c-relu-clip,drone 0
7,555.627,-1.298,23.487,-5.331,-1,a2c-relu-clip,drone 0
7,555.728,-1.235,24.222,-5.002,-1,a2c-relu-clip,drone 0
7,555.830,-1.181,24.923,-4.591,-1,a2c-relu-clip,drone 0
7,555.932,-1.059,25.605,-4.090,-1,a2c-relu-clip,drone 0
7,556.035,-0.962,26.341,-3.583,-1,a2c-relu-clip,drone 0
7,556.137,-0.875,27.092,-3.058,-1,a2c-relu-clip,drone 0
7,556.238,-0.802,27.767,-2.506,-1,a2c-relu-clip,drone 0
7,556.345,-0.761,28.561,-1.797,-1,a2c-relu-clip,drone 0
7,556.446,-0.587,29.100,-1.101,-1,a2c-relu-clip,drone 0
7,556.548,-0.148,29.383,-0.504,-1,a2c-relu-clip,drone 0
7,556.650,0.549,29.519,-0.105,-1,a2c-relu-clip,drone 0
7,556.754,1.459,29.587,0.096,-1,a2c-relu-clip,drone 0
7,556.856,2.454,29.672,0.156,-1,a2c-relu-clip,drone 0
7,556.957,3.434,29.771,0.140,-1,a2c-relu-clip,drone 0
7,557.060,4.661,29.930,0.124,-1,a2c-relu-clip,drone 0
7,557.162,5.560,30.124,0.138,-1,a2c-relu-clip,drone 0
7,557.264,6.583,30.295,0.104,-1,a2c-relu-clip,drone 0
7,557.365,7.755,30.538,-0.061,-1,a2c-relu-clip,drone 0
7,557.466,8.873,30.686,-0.215,-1,a2c-relu-clip,drone 0
7,557.569,9.898,30.863,-0.335,-1,a2c-relu-clip,drone 0
7,557.670,10.971,31.057,-0.497,-1,a2c-relu-clip,drone 0
7,557.771,12.029,31.220,-0.656,-1,a2c-relu-clip,drone 0
7,557.873,13.059,31.407,-0.836,-1,a2c-relu-clip,drone 0
