Wall time,Step,Value
1754112624.2852345,100000,1999.0
1754112690.272883,200000,1999.0
1754112759.464598,300000,1993.050048828125
1754112824.7551224,400000,1999.0
1754112893.9656146,500000,1999.0
1754112959.9137187,600000,1999.0
1754113026.1984599,700000,1999.0
1754113099.0823371,800000,1999.0
1754113171.0332656,900000,1999.0
1754113241.0254245,1000000,1958.8333740234375
1754113310.625215,1100000,1575.767822265625
1754113382.794944,1200000,1120.8555908203125
1754113453.9781706,1300000,418.479248046875
1754113528.7230055,1400000,226.2318115234375
1754113605.4368804,1500000,170.25128173828125
1754113678.6015494,1600000,156.9373016357422
1754113755.3680444,1700000,167.8544464111328
1754113828.5852835,1800000,190.15296936035156
1754113904.4292276,1900000,207.37525939941406
1754113976.9919493,2000000,207.04832458496094
1754114051.3727772,2100000,224.6090850830078
1754114124.2887242,2200000,239.63043212890625
1754114196.787777,2300000,266.0026550292969
1754114272.0539584,2400000,263.281494140625
1754114343.959409,2500000,308.879638671875
1754114418.3866577,2600000,263.7625427246094
1754114489.4711168,2700000,269.45745849609375
1754114562.3989701,2800000,266.7721252441406
1754114631.1038845,2900000,288.44805908203125
1754114703.0904138,3000000,291.1374206542969
1754114771.848244,3100000,336.550537109375
1754114840.9368482,3200000,405.6123962402344
1754114912.2046618,3300000,437.6371765136719
1754114980.577254,3400000,418.3797607421875
1754115051.7292042,3500000,418.7099609375
1754115125.5836048,3600000,420.64373779296875
1754115199.8985362,3700000,432.3150634765625
1754115268.3900614,3800000,409.64801025390625
1754115336.947039,3900000,384.03076171875
1754115408.2925816,4000000,448.5535583496094
1754115476.635432,4100000,444.039306640625
1754115548.1044338,4200000,329.6712341308594
1754115616.256327,4300000,441.1782531738281
1754115688.01974,4400000,343.9689636230469
1754115756.5128205,4500000,382.2576904296875
1754115828.012325,4600000,394.99212646484375
1754115896.1741486,4700000,410.41595458984375
1754115964.364086,4800000,404.62799072265625
1754116036.1459968,4900000,345.4794616699219
1754116104.4222252,5000000,419.2160949707031
1754116175.653002,5100000,385.2178955078125
1754116244.5116951,5200000,378.984619140625
1754116315.7778478,5300000,407.4599914550781
1754116384.2352045,5400000,395.3680114746094
1754116453.0795586,5500000,407.07818603515625
1754116523.971829,5600000,536.9304809570312
1754116592.2220278,5700000,497.9452819824219
1754116663.6079116,5800000,449.65765380859375
1754116731.84683,5900000,523.279541015625
1754116802.8286393,6000000,478.1054992675781
1754116871.2592094,6100000,406.42242431640625
1754116942.0420814,6200000,561.3539428710938
1754117009.8059866,6300000,641.7307739257812
1754117078.236505,6400000,565.9608764648438
1754117149.117374,6500000,626.3875122070312
1754117216.9558802,6600000,631.417724609375
1754117287.7713346,6700000,633.644287109375
1754117355.9671855,6800000,543.9495239257812
1754117426.7716198,6900000,534.3370971679688
1754117494.6957211,7000000,706.7902221679688
1754117565.7152367,7100000,580.7294311523438
1754117633.3186064,7200000,583.6127319335938
1754117701.3158264,7300000,568.9157104492188
1754117772.3872118,7400000,540.727294921875
1754117840.2767904,7500000,579.1715698242188
1754117911.4675329,7600000,645.5743408203125
1754117979.6425788,7700000,588.2298583984375
1754118050.5072865,7800000,531.5
1754118118.4728906,7900000,598.2814331054688
1754118186.3769076,8000000,589.1818237304688
1754118256.9885561,8100000,657.7435913085938
1754118324.8565452,8200000,638.3612670898438
1754118395.761755,8300000,606.2744140625
1754118463.5938947,8400000,672.5
1754118534.4285805,8500000,550.0270385742188
1754118602.6636903,8600000,676.19580078125
1754118673.2713454,8700000,680.1007080078125
1754118741.0077908,8800000,724.5774536132812
1754118808.926881,8900000,593.4400024414062
1754118880.0821097,9000000,481.2163391113281
1754118947.8265698,9100000,658.3489990234375
1754119018.3550458,9200000,686.5416870117188
1754119086.415201,9300000,785.534912109375
1754119157.2230308,9400000,637.6795043945312
1754119224.985089,9500000,582.5606689453125
1754119292.7318122,9600000,706.388916015625
1754119363.4411786,9700000,686.3623046875
1754119431.2592123,9800000,754.2879028320312
1754119502.0658052,9900000,805.7461547851562
1754119569.5800166,10000000,795.8916625976562
1754119640.2970986,10100000,827.0840454101562
1754119708.140131,10200000,767.6343383789062
1754119778.8930132,10300000,612.98779296875
1754119846.609987,10400000,676.640869140625
1754119914.446914,10500000,909.4219970703125
1754119984.8210158,10600000,838.66943359375
1754120052.3776166,10700000,753.9050903320312
1754120123.1196938,10800000,728.1259155273438
1754120191.058857,10900000,726.4500122070312
1754120261.8244472,11000000,729.7985229492188
1754120329.7730484,11100000,723.0352172851562
1754120400.955898,11200000,618.6687622070312
1754120469.2449584,11300000,571.971923828125
1754120537.0156353,11400000,633.5772094726562
1754120607.7824416,11500000,773.9697265625
1754120675.3588057,11600000,699.94287109375
1754120745.859724,11700000,744.9036865234375
1754120814.1421912,11800000,622.1505737304688
1754120884.6913226,11900000,658.8170166015625
1754120952.3930595,12000000,641.3026123046875
1754121020.241604,12100000,736.1840209960938
1754121090.657864,12200000,904.0
1754121158.1813333,12300000,781.2461547851562
1754121228.8209507,12400000,886.8347778320312
1754121296.0877774,12500000,800.0661010742188
1754121366.4684682,12600000,781.8880004882812
1754121434.616014,12700000,830.7244262695312
1754121505.1500726,12800000,658.8580932617188
1754121572.5992994,12900000,692.9185180664062
1754121640.290835,13000000,802.8253784179688
1754121710.6834018,13100000,867.7586059570312
1754121778.9097455,13200000,724.0
1754121849.3692222,13300000,824.5166625976562
1754121917.272926,13400000,847.8389892578125
1754121987.7237642,13500000,734.5298461914062
1754122055.4575415,13600000,974.7211303710938
1754122123.3622756,13700000,832.6531982421875
1754122193.9873645,13800000,646.0448608398438
1754122261.4287038,13900000,741.7230834960938
1754122331.81201,14000000,735.631591796875
1754122399.724379,14100000,914.3428344726562
1754122470.0614264,14200000,967.2410888671875
1754122537.7780406,14300000,854.1651611328125
1754122608.3660882,14400000,799.84375
1754122675.8372095,14500000,864.6371459960938
1754122743.440593,14600000,847.0244140625
1754122813.8583539,14700000,738.1985473632812
1754122881.4884753,14800000,653.986572265625
1754122952.3786914,14900000,772.8153686523438
1754123019.91444,15000000,696.1213989257812
1754123090.3281767,15100000,745.0785522460938
1754123157.6515858,15200000,789.8983154296875
