Wall time,Step,Value
1750598761.372944,100000,1999.0
1750598858.9821808,200000,1827.1451416015625
1750598967.2130547,300000,741.0746459960938
1750599069.0268812,400000,288.2005615234375
1750599182.5886905,500000,179.00717163085938
1750599284.8138998,600000,169.87925720214844
1750599399.7554371,700000,166.51678466796875
1750599502.0834105,800000,160.22616577148438
1750599607.687974,900000,162.47471618652344
1750599723.2162085,1000000,159.39256286621094
1750599823.556417,1100000,162.66775512695312
1750599935.8324797,1200000,159.8271942138672
1750600037.0501206,1300000,162.00657653808594
1750600146.587188,1400000,160.4012908935547
1750600252.1978998,1500000,164.3993377685547
1750600352.1764717,1600000,157.64102172851562
1750600464.2127836,1700000,173.71726989746094
1750600569.580088,1800000,171.60552978515625
1750600682.3610811,1900000,159.78114318847656
1750600783.9591105,2000000,171.82669067382812
1750600900.059083,2100000,184.10018920898438
1750601001.639891,2200000,177.30947875976562
1750601109.3061242,2300000,178.5294189453125
1750601201.853863,2400000,177.85714721679688
1750601293.3072863,2500000,185.554931640625
1750601394.9127233,2600000,183.6839141845703
1750601486.1253526,2700000,182.66909790039062
1750601588.980412,2800000,177.90631103515625
1750601680.5154037,2900000,193.2965087890625
1750601782.4770288,3000000,197.95362854003906
1750601873.6220186,3100000,222.07252502441406
1750601975.2136662,3200000,213.5947723388672
1750602065.826159,3300000,249.80348205566406
1750602156.2079282,3400000,252.65902709960938
1750602257.24348,3500000,253.0332489013672
1750602348.435355,3600000,249.76980590820312
1750602449.209776,3700000,249.83544921875
1750602539.973633,3800000,260.3619689941406
1750602641.1377187,3900000,266.6170349121094
1750602731.4583702,4000000,243.69422912597656
1750602822.2435749,4100000,280.83056640625
1750602923.3879092,4200000,250.77638244628906
1750603013.4343774,4300000,242.59268188476562
1750603114.6874502,4400000,263.9917297363281
1750603205.4531837,4500000,266.74871826171875
1750603306.3494782,4600000,259.0474853515625
1750603396.8643548,4700000,274.4570617675781
1750603497.6013207,4800000,271.9407043457031
